target_id	title	author	year	author_candidate_count	wikidata_status	qid	failure_mode	notes
OL7753006W	The green gods̓ pavilion	Mabel Wood Martin	1920	0				
OL7756116W	The kidnapped campers	Flavia A. Camp Canfield	1908	0				
OL7784310W	In Princeton town	Day Edgar	1929	0				
OL7839033W	By order of the prophet	Alfred Hylas Henry	1902	0				
OL7853193W	Preliminary finding list of fiction	New Orleans Public Library.	1897	1				
OL7860029W	In colonial days	Maria Frances Hill Anderson	1886	1				
OL7869909W	My sword for Sarsfield	Randal William McDonnell	1920	0				
OL7895226W	Gold-seeking on the Dalton trail	Arthur Ripley Thompson	1900	1				
OL8005303W	Adventures and exploits of the Younger brothers	Henry Dale	1890	3				
OL9867605W	Dust of the world	S. M. Harris	1913	0				
