group	journal	year	work_id	title	term_type	term	occurrences
Literary / critical	PMLA	2018	https://openalex.org/W2900451816	Aggregation, Public Criticism, and the History of Reading Big Data	strong	digital humanities	1
Literary / critical	PMLA	2018	https://openalex.org/W2900451816	Aggregation, Public Criticism, and the History of Reading Big Data	strong	distant reading	2
Literary / critical	PMLA	2018	https://openalex.org/W2900451816	Aggregation, Public Criticism, and the History of Reading Big Data	strong	macroanalysis	1
Literary / critical	PMLA	2020	https://openalex.org/W3010064944	African American Scholars and the Margins of DH	strong	digital humanities	1
Literary / critical	PMLA	2016	https://openalex.org/W4235218721	Talking French	strong	distant reading	1
Literary / critical	PMLA	2018	https://openalex.org/W2796720236	Introduction to “How We Write Now”	strong	distant reading	1
Literary / critical	PMLA	2016	https://openalex.org/W4233253947	Data versus Literature? The Digital Humanities and Literary Studies - Reply	strong	digital humanities	1
Literary / critical	PMLA	2017	https://openalex.org/W4242234473	Theology Still?	strong	distant reading	4
Literary / critical	PMLA	2020	https://openalex.org/W3124758512	Languages in the Time of Corona	review_only	database	1
Literary / critical	PMLA	2007	https://openalex.org/W4241318766		review_only	digitization	1
Literary / critical	PMLA	2007	https://openalex.org/W4242509477		review_only	digitization	1
Literary / critical	PMLA	2007	https://openalex.org/W4250138847		review_only	digitization	1
Literary / critical	PMLA	2016	https://openalex.org/W2515500677	Dawnland Voices 2.0: Sovereignty and Sustainability Online	strong	digital humanities	2
Literary / critical	PMLA	2017	https://openalex.org/W2766308824	Franco Moretti as Satirist	strong	distant reading	2
Literary / critical	PMLA	2018	https://openalex.org/W2796574576	Editor's Column	strong	digital humanities	2
Literary / critical	PMLA	2018	https://openalex.org/W2891092540	“Come, Let Us Reason Together”: New Research and the Public Good	review_only	digitization	1
Literary / critical	PMLA	2020	https://openalex.org/W3010255380	The Experimental Turn	strong	digital humanities	1
Literary / critical	PMLA	2016	https://openalex.org/W3093650657	Data versus Literature? The Digital Humanities and Literary Studies - Reply	strong	digital humanities	1
Literary / critical	ELH	2019	https://openalex.org/W2948104474	Science Fiction and the Time Scales of the Anthropocene	strong	distant reading	2
Literary / critical	ELH	2015	https://openalex.org/W1966986837	Ways of Not Reading Gertrude Stein	strong	distant reading	2
Literary / critical	ELH	2016	https://openalex.org/W2463160246	Big Data as Drama	review_only	database	1
Literary / critical	ELH	2019	https://openalex.org/W2948139473	Extreme Reading: Josephine Miles and the Scale of the Pre-Digital Digital Humanities	strong	digital humanities	5
Literary / critical	ELH	2019	https://openalex.org/W2948139473	Extreme Reading: Josephine Miles and the Scale of the Pre-Digital Digital Humanities	strong	distant reading	2
Literary / critical	ELH	2016	https://openalex.org/W2301040871	“A Scientifical View of the Whole”: Adam Smith, Indexing, and Technologies of Abstraction	strong	topic modeling	1
Literary / critical	ELH	2012	https://openalex.org/W1986332827	Searching the Archives with Dickens and Hawthorne: Databases and Aesthetic Judgment after the New Historicism	review_only	database	2
Literary / critical	ELH	2019	https://openalex.org/W2948328435	Essays from The English Institute 2017: Scale	strong	distant reading	1
Literary / critical	ELH	2020	https://openalex.org/W3110904151	"Data as Poetry in Cowper's Statistical ""Effusions"""	strong	digital humanities	2
Literary / critical	Novel	2016	https://openalex.org/W2413727317	The Novel as the Future Anterior of the Book: Tom McCarthy's <i>Remainder</i> and Ali Smith's <i>The Accidental</i>	review_only	electronic text	1
Literary / critical	Novel	2021	https://openalex.org/W3177124185	Keywords, Structures of Feeling, and the Novel	strong	distant reading	2
Literary / critical	Novel	2016	https://openalex.org/W2556896649	Maxing Out the Novel	review_only	database	1
Literary / critical	Novel	2015	https://openalex.org/W2768474000	(Re)Born Digital	strong	distant reading	1
Literary / critical	Novel	2015	https://openalex.org/W2768474000	(Re)Born Digital	review_only	database	6
Literary / critical	Novel	2015	https://openalex.org/W2768474000	(Re)Born Digital	review_only	electronic text	1
Literary / critical	Novel	2016	https://openalex.org/W2770096464	Cultivating a Curriculum	strong	digital humanities	2
Literary / critical	Novel	2016	https://openalex.org/W2770096464	Cultivating a Curriculum	strong	distant reading	1
Literary / critical	Novel	2016	https://openalex.org/W2770096464	Cultivating a Curriculum	strong	macroanalysis	1
Literary / critical	Novel	2016	https://openalex.org/W2770286402	The New Contentism	strong	distant reading	2
Literary / critical	Novel	2019	https://openalex.org/W2942939891	The Consolation of Critique	strong	distant reading	1
Literary / critical	Novel	2020	https://openalex.org/W3080289611	The Matter of Aesthetic Experience	strong	digital humanities	1
Literary / critical	Novel	2020	https://openalex.org/W3080289611	The Matter of Aesthetic Experience	strong	distant reading	4
Literary / critical	Novel	2021	https://openalex.org/W3200516564	Literature Counts: The Feelings of <i>Overwhelmed</i>	strong	digital humanities	4
Literary / critical	Novel	2021	https://openalex.org/W3200516564	Literature Counts: The Feelings of <i>Overwhelmed</i>	strong	stylometry	1
Literary / critical	Novel	2021	https://openalex.org/W3200516564	Literature Counts: The Feelings of <i>Overwhelmed</i>	review_only	digital archive	1
Literary / critical	Novel	2021	https://openalex.org/W3200516564	Literature Counts: The Feelings of <i>Overwhelmed</i>	review_only	database	4
Literary / critical	Novel	2021	https://openalex.org/W3201304416	Differences that Make No Difference and Ambiguities that Do	strong	digital humanities	1
Literary / critical	Novel	2021	https://openalex.org/W4206205001	Close Reading on a Global Scale	strong	distant reading	1
Literary / critical	Novel	2017	https://openalex.org/W4236100398	Social Imperatives	strong	distant reading	2
Literary / critical	Novel	2022	https://openalex.org/W4284894719	A Library of One's Own	review_only	digitization	1
