review_priority	group	journal	year	title	dh_terms	dh_term_occurrences	review_candidate_reason	duplicate_count	work_id	doi	type	has_abstract	manual_class	manual_note
ordinary_hit	Comparanda	Digital Scholarship in the Humanities	2015	Programming in the Digital Humanities	digital humanities	2		1	https://openalex.org/W2291963777	https://doi.org/10.1093/llc/fqv042	article	1		
ordinary_hit	Comparanda	Digital Scholarship in the Humanities	2015	Realizing the Democratic Potential of Online Sources in the Classroom	digital humanities	1		1	https://openalex.org/W2176349895	https://doi.org/10.1093/llc/fqv039	article	1		
ordinary_hit	Comparanda	Digital Scholarship in the Humanities	2015	Rhetoric and the Digital Humanities. Jim Ridolfo and William Hart-Davidson (eds.).	digital humanities	2		1	https://openalex.org/W2310260324	https://doi.org/10.1093/llc/fqv059	article	1		
ordinary_hit	Comparanda	Digital Scholarship in the Humanities	2015	Rolling stylometry	stylometry	3		1	https://openalex.org/W4255671361	https://doi.org/10.1093/llc/fqv010	article	1		
ordinary_hit	Comparanda	Digital Scholarship in the Humanities	2015	Stylometry and collaborative authorship: Eddy, Lovecraft, and ‘The Loved Dead’	stylometry	4		1	https://openalex.org/W2274613125	https://doi.org/10.1093/llc/fqv026	article	1		
ordinary_hit	Comparanda	Digital Scholarship in the Humanities	2015	The Impact of Lacking Metadata for the Measurement of Cultural and Linguistic Change Using the Google Ngram Data Sets—Reconstructing the Composition of the German Corpus in Times of WWII	digital humanities	1		1	https://openalex.org/W2275957045	https://doi.org/10.1093/llc/fqv037	article	1		
ordinary_hit	Comparanda	Digital Scholarship in the Humanities	2015	The Rowling Case: A Proposed Standard Analytic Protocol for Authorship Questions	stylometry	1		1	https://openalex.org/W2214276702	https://doi.org/10.1093/llc/fqv040	article	1		
ordinary_hit	Comparanda	Digital Scholarship in the Humanities	2015	Towards an intellectual history of digitization: Myths, dystopias, and discursive shifts in museum computing	digital humanities	1		1	https://openalex.org/W2134764887	https://doi.org/10.1093/llc/fqv006	article	1		
ordinary_hit	Comparanda	Digital Scholarship in the Humanities	2015	Trading Consequences: A Case Study of Combining Text Mining and Visualization to Facilitate Document Exploration	digital humanities; text mining	4		1	https://openalex.org/W2340581292	https://doi.org/10.1093/llc/fqv046	article	1		
ordinary_hit	Comparanda	Digital Scholarship in the Humanities	2015	Visual Linguistic Analysis of Political Discussions: Measuring Deliberative Quality	digital humanities	1		1	https://openalex.org/W1917410257	https://doi.org/10.1093/llc/fqv033	article	1		
ordinary_hit	Comparanda	Digital Scholarship in the Humanities	2015	Visualization in stylometry: Cluster analysis using networks	stylometry	2		1	https://openalex.org/W2545055460	https://doi.org/10.1093/llc/fqv061	article	1		
ordinary_hit	Comparanda	Digital Scholarship in the Humanities	2016	Digital humanities is text heavy, visualization light, and simulation poor	digital humanities	4		1	https://openalex.org/W2550450787	https://doi.org/10.1093/llc/fqw053	article	1		
ordinary_hit	Comparanda	Digital Scholarship in the Humanities	2016	DivaServices—A RESTful web service for Document Image Analysis methods	digital humanities	2		1	https://openalex.org/W2556755379	https://doi.org/10.1093/llc/fqw051	article	1		
ordinary_hit	Comparanda	Digital Scholarship in the Humanities	2016	Engaging the museum space: Mobilizing visitor engagement with digital content creation	digital humanities	3		1	https://openalex.org/W2256636633	https://doi.org/10.1093/llc/fqw041	article	1		
