work_key	title	author_name	first_publish_year	canonical	htid_count	pd_count	sample_htids	matched_title	matched_author	source
OL43608326W	Wyandotte	Cooper, James Fenimore	1900	0	2	2	mdp.39015071382579|uc1.b4103774	Wyandotte : past, present, future.		hathifiles_title
OL39455890W	Both sides the border	G. A. Henty	1898	0	4	4	uc2.ark:/13960/t5m902s1g|mdp.39015073487020|mdp.39015073486998	Both sides the border : a tale of Hotspur and Glendower / by	Henty, G. A. 1832-1902.	hathifiles_title
OL39858190W	By England's aid, or, The freeing of the Netherlands (1589-1604)	G. A. Henty	1890	0	4	4	mdp.39015073486881|mdp.39015073486865|mdp.39015073486857	By England's aid, or, The freeing of the Netherlands (1589-1	Henty, G. A. 1832-1902.	hathifiles_title
OL1794598W	The Curse of Carne's Hold	G. A. Henty	1889	0	2	2	mdp.39015073486600|mdp.39015073486592	The curse of Carne's Hold / by G. A. Henty.	Henty, G. A. 1832-1902.	hathifiles_title
OL39446713W	For name and fame, or, Through Afghan passes	G. A. Henty	1890	0	5	5	mdp.39015073484514|uiuo.ark:/13960/t76t4087b|mdp.39015073484126	For name and fame, or, Through Afghan passes / by G.A. Henty	Henty, G. A. 1832-1902.	hathifiles_title
OL39418469W	In freedom's cause	G. A. Henty	1906	0	1	1	mdp.39015073429121	In freedom's cause : a story of Wallace and Bruce / by G. A.	Henty, G. A. 1832-1902.	hathifiles_title
OL40256742W	A Jacobite exile	G. A. Henty	1902	0	3	3	mdp.39015073483888|uc2.ark:/13960/t87h1pk8g|uc1.b3333000	A Jacobite exile : being the adventures of a young Englishma	Henty, G. A. 1832-1902.	hathifiles_title
OL39452885W	A knight of the white cross	G. A. Henty	1895	0	5	5	uc2.ark:/13960/t8tb0zm6f|mdp.39015073483813|uc2.ark:/13960/t2g738v0r	A knight of the White Cross; a tale of the siege of Rhodes. 	Henty, G. A. 1832-1902.	hathifiles_title
OL39456884W	No surrender!	G. A. Henty	1899	0	2	2	uc2.ark:/13960/t18k7577n|mdp.39015073484209	No surrender! : A tale of the rising in La Vendée / by G.A.	Henty, G. A. 1832-1902.	hathifiles_title
OL39446874W	Through the Sikh war	G. A. Henty	1890	0	6	6	mdp.39015073479910|mdp.39015073479902|nyp.33433082305917	Through the Sikh war : a tale of the conquest of the Punjaub	Henty, G. A. 1832-1902.	hathifiles_title
OL39454932W	With Moore at Corunna	G. A. Henty	1897	0	7	7	uc2.ark:/13960/t7mp4wc1w|mdp.39015073480934|mdp.39015073480926	With Moore at Corunna; with 12 illus. by Wal Paget.	Henty, G. A. 1832-1902.	hathifiles_title
OL44897424W	With Wolfe in Canada, or, The winning of a continent	G. A. Henty	1925	0	3	3	nc01.ark:/13960/t07w7g138|mdp.39015073480751|hvd.hnn5hs	With Wolfe in Canada = or, the winning of a continent / by G	Henty, G. A. 1832-1902.	hathifiles_title
OL1794671W	Wulf the Saxon	G. A. Henty	1894	0	7	7	mdp.39015073480793|uiug.30112039592552|mdp.39015073480652	Wulf the Saxon : a story of the Norman conquest / by G.A. He	Henty, G. A. 1832-1902.	hathifiles_title
OL17946813W	The Eskimo twins	Lucy Fitch Perkins	1914	0	5	5	hvd.32044029016045|hvd.hn3lk2|uc2.ark:/13960/t2x34ps4s	The Eskimo twins / by Lucy Fitch Perkins ; illustrated by th	Perkins, Lucy Fitch, 1865-1937	hathifiles_title
OL121244W	Mother West Wind's animal friends	Thornton W. Burgess	1912	0	2	2	mdp.39015085433418|hvd.hn3ljm	Mother West Wind's animal friends / by Thornton W. Burgess ;	Burgess, Thornton W. 1874-1965.	hathifiles_title
OL1794577W	Yarns on the beach	G. A. Henty	1900	0	1	1	mdp.39015073480678	Yarns on the beach : a bundle of tales / by G.A. Henty ; ill	Henty, G. A. 1832-1902.	hathifiles_title
OL32089381W	The Little Robinson and other tales	William and Robert Chambers	1886	0	1	1	mdp.39015078545020	The little Robinson and other tales.		hathifiles_title
OL24517554W	The Log School-House on the Columbia	Hezekiah Butterworth	1893	0	5	5	mdp.39015078571414|uc2.ark:/13960/t06w97d3r|hvd.hn1hk2	The log school-house on the Columbia : a tale of the pioneer	Butterworth, Hezekiah, 1839-1905.	hathifiles_title
OL1202228W	Patty and Azalea	Carolyn Wells	1919	0	1	1	mdp.39015074379820	Patty and Azalea / by Carolyn Wells.	Wells, Carolyn, 1862-1942.	hathifiles_title
OL98774W	The drifting cowboy	Will James	1925	0	2	2	uc1.$b725501|wu.89054843024	The drifting cowboy / by Will James.	James, Will, 1892-1942.	hathifiles_title
OL98765W	My first horse	Will James	1940	0	1	0	wu.89052496668	My first horse / by Siegfried Sassoon, ... [et al.]		hathifiles_title
OL22130290W	The Cecil Aldin book	Cecil Aldin	1932	0	1	0	wu.89053006474	The Cecil Aldin book.	Aldin, Cecil, 1870-1935.	hathifiles_title
OL16611392W	The refraction of the eye	Davis, Achilles Edward	1900	0	7	7	uc2.ark:/13960/t3rv0rd30|hvd.32044045258852|hvd.32044048098099	The refraction of the eye; including a complete treatise on 	Davis, Achilles Edward, 1866-1941.	hathifiles_title
OL44837358W	Loss and gain	John Henry Newman	1891	0	7	7	coo1.ark:/13960/t45q5gt04|wu.89069083673|uc1.b4678502	Loss and gain; the story of a convert.	Newman, John Henry, Saint, 1801-1890.	hathifiles_title
OL32089389W	The Old, old fairy tales	L. Valentine	1890	0	3	3	wu.89094591591|uc2.ark:/13960/t7dr2q54n|uc1.$b281929	The Old old fairy tales / collected and edited by Mrs. Valen		hathifiles_title
OL15528176W	Elise	S. M. M. X.	1896	0	3	3	nc01.ark:/13960/t59c7r49n|wu.89098876998|nyp.33433075872915	Elise : a story of the Civil War / by S. M. M. X.	S. M. M. X.	hathifiles_title
OL3921555W	Mickey Mouse Crusoe	Walt Disney	1936	0	1	0	mdp.39015074251599	Mickey Mouse Crusoe / by Walt Disney.	Disney, Walt, 1901-1966.	hathifiles_title
OL17712764W	Adventures among the Indians	William Henry Giles Kingston	1884	0	5	5	wu.89073163883|umn.31951002116804e|njp.32101068972221	Adventures among the Indians / by W. H. G. Kingston.	Kingston, William Henry Giles, 1814-1880	hathifiles_title
OL32090602W	Danish fairy tales and legends	Hans Christian Andersen	1897	0	2	2	mdp.39015078968651|inu.30000007413424	Danish fairy tales and legends / by Hans Christian Andersen 	Andersen, H. C. 1805-1875.	hathifiles_title
OL16884903W	The store boy, or, The fortunes of Ben Barclay	Horatio Alger	1887	0	2	2	mdp.39015078968339|nc01.ark:/13960/t7mp62009	The store boy, or The fortunes of Ben Barclay / by Horatio A	Alger, Horatio, Jr., 1832-1899.	hathifiles_title
OL32093543W	The store boy, or, The fortunes of Ben Barclay	Horatio Alger	1887	0	2	2	mdp.39015078968339|nc01.ark:/13960/t7mp62009	The store boy, or The fortunes of Ben Barclay / by Horatio A	Alger, Horatio, Jr., 1832-1899.	hathifiles_title
OL16753588W	A history of England	Admiral Paschal. [from old catalog] Stone	1910	0	11	2	mdp.39015078622753|mdp.39015078622795|mdp.39015078622845	A history of England / General ed.: Charles Oman.		hathifiles_title
OL39455746W	Yule logs	G. A. Henty	1898	0	1	1	uc2.ark:/13960/t9p26rn3h	Yule logs / edited by G. A. Henty.		hathifiles_title
OL39416704W	Dick's Desertion; A Boy's Adventures in Canadian Forests. a Tale of the Early Settlement of Ontario, by Marjorie L.C. Pickthall	Marjorie L. C. Pickthall	1905	0	2	2	wu.89098862105|pst.000006706494	Dick's desertion : a boy's adventures in Canadian forests. A	Pickthall, Marjorie L. C. 1883-1922.	hathifiles_title
OL3452701W	Dick's desertion	Marjorie Lowry Christie Pickthall	1900	0	2	2	wu.89098862105|pst.000006706494	Dick's desertion : a boy's adventures in Canadian forests. A	Pickthall, Marjorie L. C. 1883-1922.	hathifiles_title
OL7039535W	A romance of Toronto (founded on fact)	Annie G. Savigny	1888	0	2	2	wu.89098861925|hvd.32044019035336	A romance of Toronto (founded on fact) : a novel / by Annie 	Savigny, Annie G.	hathifiles_title
OL9199722W	A romance of Toronto (founded on fact)	Annie Gregg Savigny	1888	0	2	2	wu.89098861925|hvd.32044019035336	A romance of Toronto (founded on fact) : a novel / by Annie 	Savigny, Annie G.	hathifiles_title
OL23251084W	The Browning boys	Pansy	1886	0	1	1	wu.89098868904	The Browning boys / by Pansy ; illustrated by Horace Petheri	Pansy, 1841-1930.	hathifiles_title
OL33360901W	The Arabian nights	Hale, Edward Everett	1888	0	11	9	hvd.32044019177369|hvd.hn5j5n|uva.x000504084	The Arabian nights : their best-known tales / ed. by Kate Do		hathifiles_title
OL32091519W	The Arabian nights	Helen Marion Burnside	1892	0	11	9	hvd.32044019177369|hvd.hn5j5n|uva.x000504084	The Arabian nights : their best-known tales / ed. by Kate Do		hathifiles_title
OL11472480W	The boys of Columbia High on the diamond	Graham B Forbes	1911	0	1	1	hvd.hn5ht5	The boys of Columbia High on the diamond; or, Winning out by	Forbes, Graham B.	hathifiles_title
OL15697135W	The romance of Gilbert Holmes	Marshall M. Kirkman	1900	0	4	4	uc2.ark:/13960/t91835t9n|uc2.ark:/13960/t9s17v90s|wu.89005369384	The romance of Gilbert Holmes; an historical novel, by Marsh	Kirkman, Marshall M. 1842-1921.	hathifiles_title
OL262390W	The Road to Oz	Baum, L. Frank	1909	0	3	3	hvd.32044011907441|coo1.ark:/13960/t3dz0tg63|nyp.33333081020063	The road to Oz / by L. Frank Baum ; illustrated by John R. N	Baum, L. Frank 1856-1919	hathifiles_title
OL16579075W	The Pony Rider Boys in New Mexico, or, The end of the silver trail	Frank Gee Patchin	1910	0	2	2	mdp.39015082536486|nc01.ark:/13960/t4rj5jp0q	The pony rider boys in New Mexico, or, The end of the silver	Patchin, Frank Gee, 1861-1925.	hathifiles_title
OL32147056W	The fortunes of Philippa Fairfax	Frances Hodgson Burnett	1888	0	1	1	wu.89098013477	The fortunes of Philippa Fairfax / by Frances Hodgson Burnet	Burnett, Frances Hodgson, 1849-1924.	hathifiles_title
OL42470813W	Little Lord Fauntleroy	Frances Hodgson Burnett	1913	0	8	8	wu.89098013766|wu.89098013782|uc2.ark:/13960/t9b56fc15	Little Lord Fauntleroy / by Frances Hodgson Burnett ; [illus	Burnett, Frances Hodgson, 1849-1924.	hathifiles_title
OL32146025W	Through one administration	Frances Hodgson Burnett	1883	0	6	6	wu.89098013915|nyp.33433074937826|osu.32435014847016	Through one administration / by Frances Hodgson Burnett.	Burnett, Frances Hodgson, 1849-1924.	hathifiles_title
OL69662W	The troubles of Queen Silver-bell	Frances Hodgson Burnett	1906	0	2	2	wu.89098013931|hvd.hn6adq	The troubles of Queen Silver-bell / by Queen Crosspatch ; sp	Burnett, Frances Hodgson, 1849-1924.	hathifiles_title
OL12207290W	A modern Argonaut ..	Leela B. Davis	1896	0	1	1	wu.89098018526	A modern Argonaut / by Leela B. Davis.	Davis, Leela B.	hathifiles_title
OL32093261W	The island of gold	William Gordon Stables	1898	0	1	1	wu.89007381072	The island of gold : a sailor's yarn / by Gordon Stables ; w	Stables, Gordon, 1840-1910.	hathifiles_title
OL37923163W	House of A Thousand Candles	Nicholson, Meredith	1905	0	8	8	uc2.ark:/13960/t4hm53167|hvd.hxdm3v|osu.32435018469718	The house of a thousand candles / by Meredith Nicholson ; wi	Nicholson, Meredith, 1866-1947.	hathifiles_title
OL1103998W	With Crockett and Bowie	Munroe, Kirk	1898	0	5	5	uc2.ark:/13960/t4dn4124x|nyp.33433074910955|wu.89007379100	With Crockett and Bowie; or, Fighting for the Lone-star flag	Munroe, Kirk, 1850-1930.	hathifiles_title
OL39451947W	The story of a short life	Juliana Horatia Gatty Ewing	1894	0	9	9	mdp.39015082161020|uc2.ark:/13960/t9c53k735|uc1.$b308293	The story of a short life / by Juliana Horatia Ewing ; illus	Ewing, Juliana Horatia, 1841-1885.	hathifiles_title
OL11565103W	Chastity	Margaret Lanham	1947	0	2	0	inu.30000055052090|iau.31858019971799	Chastity: a study of sexual morality in the English medieval	Lanham, Margaret	hathifiles_title
OL15233475W	The Governor of England	Bowen, Marjorie	1917	0	1	1	inu.32000002425082	The governor of England / by Marjorie Bowen.	Bowen, Marjorie, 1888-1952.	hathifiles_title
OL16466385W	Target	Brett Halliday	1904	0	1	0	inu.30000054753920	The target.		hathifiles_title
OL10343415W	On the marble cliffs	Ernst Jünger	1947	0	3	0	inu.30000007054830|nyp.33433043043482|uc1.b3723996	On the marble cliffs : a novel / by Ernst Juenger ; translat	Jünger, Ernst, 1895-1998	hathifiles_title
OL38508390W	On the marble cliffs	Ernst Jünger	1947	0	3	0	inu.30000007054830|nyp.33433043043482|uc1.b3723996	On the marble cliffs : a novel / by Ernst Juenger ; translat	Jünger, Ernst, 1895-1998	hathifiles_title
OL1219829W	The forty days	Franz Werfel	1934	0	1	0	inu.30000041629753	The forty days / Franz Werfel ; translated from the German b	Werfel, Franz, 1890-1945.	hathifiles_title
OL3020920W	The four false weapons	John Dickson Carr	1942	0	1	0	inu.39000000442405	The four false weapons : being the return of Bencolin / by J	Carr, John Dickson, 1906-1977.	hathifiles_title
OL44438294W	The sea-wolf	Jack London	1930	0	3	3	inu.32000000657439|uva.x030803133|uc1.31210000964724	The sea-wolf / by Jack London.	London, Jack, 1876-1916.	hathifiles_title
OL3426845W	The confessions of a con man as told to Will Irwin	Irwin, Will	1909	0	3	3	uc2.ark:/13960/t07w6854p|inu.30000003292277|uc1.b4095511	The confessions of a con man as told to Will Irwin; illustra	Irwin, Will, 1873-1948.	hathifiles_title
OL17662276W	The happy foreigner	Enid Bagnold	1920	0	2	2	inu.30000011829136|msu.31293103064550	The happy foreigner.	Bagnold, Enid.	hathifiles_title
OL17753287W	The cook and the captive	Yonge, Charlotte Mary	1894	0	1	1	inu.30000000319982	The cook and the captive; or, Attalus the hostage, by Charlo	Yonge, Charlotte Mary, 1823-1901.	hathifiles_title
OL75392W	The daisy chain	Yonge, Charlotte Mary	1881	0	9	9	inu.30000007696051|uc1.b3759985|hvd.hn1jpy	The daisy chain; or, Aspirations; a family chronicle, by the	Yonge, Charlotte Mary, 1823-1901.	hathifiles_title
OL12979668W	Song of the city	Peter Henry Abrahams	1943	0	1	0	inu.30000055891182	Song of the city; a novel.	Abrahams, Peter, 1919-	hathifiles_title
OL76574W	A prince of the captivity	John Buchan	1933	0	2	0	inu.30000041714357|uc1.31210005819568	A prince of the captivity / by John Buchan.	Buchan, John, 1875-1940.	hathifiles_title
OL20109634W	News from Nowhere	Morris, William	1897	0	14	14	dul1.ark:/13960/t2988x91m|inu.32000000113383|uc2.ark:/13960/t94749g3w	News from nowhere; or, An epoch of rest, being some chapters	Morris, William, 1834-1896.	hathifiles_title
OL38754409W	The fall of Constantinople	J. M. Neale	1913	0	2	1	inu.32000004526861|coo.31924028239105	The fall of Constantinople.	Neale, J. M. 1818-1866.	hathifiles_title
OL7185274W	Attack in the desert [by] Michael Home [pseud.]	Christopher Bush	1942	0	2	0	inu.32000002892083|uc1.b4091126	Attack in the desert [by] Michael Home [pseud.]	Bush, Christopher, b. 1885.	hathifiles_title
OL35695219W	Ulysses	James Joyce	1922	1	3	1	inu.30000111060913|inu.30000011424490|ucbk.ark:/28722/h23r0pv23	Ulysses / James Joyce.	Joyce, James, 1882-1941.	hathifiles_title
OL38767940W	Ulysses	Joyce, James	1934	0	2	0	inu.30000111060913|inu.30000011424490	Ulysses / James Joyce.	Joyce, James, 1882-1941.	hathifiles_title
OL86318W	Ulysses	Joyce, James	1914	0	3	1	inu.30000111060913|inu.30000011424490|ucbk.ark:/28722/h23r0pv23	Ulysses / James Joyce.	Joyce, James, 1882-1941.	hathifiles_title
