openlibrary_work_key	selection_title	selection_author	search_author_variant	ia_identifier	ia_title	ia_creator	ia_date	ia_year	ia_mediatype	ia_language	ia_publisher	ia_subject	ia_description	ia_collection	review_label	review_note
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	greatgatsby0000fsco_u6h8	The Great Gatsby	F. Scott Fitzgerald	1968-01-01T00:00:00Z	1968.0	texts	eng				['internetarchivebooks', 'printdisabled', 'inlibrary']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	greatgatsby0000fsco_w7f0	The Great Gatsby	F. Scott Fitzgerald	1925-01-01T00:00:00Z	1925.0	texts					['internetarchivebooks']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	greatgatsby0000fsco_x0k4	The Great Gatsby	F. Scott Fitzgerald	1925-01-01T00:00:00Z	1925.0	texts	eng				['internetarchivebooks', 'fav-jahanzeb_shah']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	bwb_Y0-DCL-274	The great gatsby	F. Scott Fitzgerald	1953-01-01T00:00:00Z	1953.0	texts	eng				['internetarchivebooks', 'printdisabled', 'inlibrary']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	the-great-gatsby-by-f.-scott-fitzgerald-gunston-classics	THE GREAT GATSBY By F. SCOTT FITZGERALD - GUNSTON CLASSICS	F. SCOTT FITZGERALD - GUNSTON CLASSICS			texts	eng		['JAZZ AGE', 'RICH', 'LOVE', 'ROMANCE. ADVENTURE', 'HOUSE']	THE GREAT GATSBY  by F. SCOTT FITZGERALD - GUNSTON CLASSICS&lt;/H1&gt; A delightful Jazz Age adventure in the pursuit of love and desire. A popular romance.	['folkscanomy_miscellaneous', 'folkscanomy', 'fav-dnstoddart', 'fav-katherine621', 'fav-kimkim7', 'fav-madcapviolet']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	greatgatsby0000fsco_x5h9	the great gatsby	f. scott fitzgerald	1925-01-01T00:00:00Z	1925.0	texts	eng	charles scribner's sons			['internetarchivebooks', 'fav-bookhunter222', 'fav-vilma_p']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	greatgatsby0000fsco_m2v6	The Great Gatsby	F. Scott Fitzgerald	1925-01-01T00:00:00Z	1925.0	texts	eng				['internetarchivebooks', 'fav-ozzmanwpoint0']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	bwb_S0-DZK-184	The Great Gatsby	F. Scott Fitzgerald	1953-01-01T00:00:00Z	1953.0	texts	eng				['internetarchivebooks', 'printdisabled', 'inlibrary']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	bwb_S0-EGM-003	The great gatsby	F. Scott Fitzgerald	1953-01-01T00:00:00Z	1953.0	texts	eng	Charles Scribner's Sons			['internetarchivebooks', 'printdisabled', 'inlibrary']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	bwb_S0-DHU-886	The great gatsby	F. Scott Fitzgerald	1953-01-01T00:00:00Z	1953.0	texts	eng				['internetarchivebooks', 'printdisabled', 'inlibrary']		
