work_id	htid_count	oclc_variants	title_htrc	date_htrc	prob80_max	englishpct_max	htids	wk_norm	match_method	match_score
OL1061654W	3	1	Life	1920	0.84	1.0	mdp.39015030017902|uc1.b3118191|uc2.ark+=13960=t6sx67d1x	/works/OL1061654W	oclc	
OL1061657W	2	2	Treacherous ground	1920	0.89	1.0	uc2.ark+=13960=t1wd3st91|uiuo.ark+=13960=t2n58gm1b	/works/OL1061657W	oclc	
OL1061661W	4	3	The power of a lie	1908	0.89	1.0	uiuo.ark+=13960=t7fq9th7f|mdp.39015011325233|uc2.ark+=13960=t2n58gf13|uc2.ark+=13960=t8rb6zq9w	/works/OL1061661W	oclc	
OL1061662W	2	2	The great hunger	1920	0.83	1.0	uc2.ark+=13960=t9t14xz7p|mdp.39015030017837	/works/OL1061662W	oclc	
OL106166W	3	1	A journey in search of Christmas	1904	0.86	0.999	mdp.39015063976354|nyp.33433074795158|nyp.33433074795166	/works/OL106166W	oclc	
OL106168W	2	1	Red men and white	1896	0.88	1.0	njp.32101079836100|nyp.33433081749834	/works/OL106168W	oclc	
OL106172W	1	1	The Jimmyjohn boss, and other stories	1900	0.89	1.0	mdp.39015063975901	/works/OL106172W	oclc	
OL106173W	3	1	Lady Baltimore	1906	0.84	1.0	mdp.39015036778382|uc1.b3569321|uc2.ark+=13960=t9f47jb2d	/works/OL106173W	oclc	
OL1063780W	1	1	Red robe and grey robe; or, Richelieu defied;	1901	0.89	1.0	uc2.ark+=13960=t7rn34m5c	/works/OL1063780W	oclc	
OL1064284W	1	1	Arsène Lupin versus Herlock Sholmes	1910	0.9	1.0	mdp.39015069330739	/works/OL1064284W	oclc	
OL1064287W	1	1	The hollow needle	1910	0.86	1.0	nyp.33433075799928	/works/OL1064287W	oclc	
OL1064333W	2	1	The count's millions	1913	0.9	1.0	uc2.ark+=13960=t9g44jr2z|uiuo.ark+=13960=t3qv3g034	/works/OL1064333W	oclc	
OL1064385W	2	1	Danesbury house	1893	0.89	1.0	mdp.39015009231732|wu.89002332658	/works/OL1064385W	oclc	
OL1065761W	1	1	A crime of the under-seas	1905	0.89	1.0	uc1.$b358725	/works/OL1065761W	oclc	
OL1065767W	2	1	A millionaire's love story	1901	0.89	1.0	njp.32101066454362|nyp.33433074940218	/works/OL1065767W	oclc	
OL1065779W	2	1	'Farewell, Nikola.'	1901	0.83	1.0	njp.32101066120120|uc2.ark+=13960=t9f47kt61	/works/OL1065779W	oclc	
OL1065952W	3	3	Cashel Byron's profession	1909	0.84	1.0	uc2.ark+=13960=t9m32rt8c|uc2.ark+=13960=t04x5755s|mdp.39015031311619	/works/OL1065952W	oclc	
OL1066071W	2	1	The irrational knot	1918	0.82	1.0	nyp.33433075747000|uc2.ark+=13960=t06w98z59	/works/OL1066071W	oclc	
OL1066453W	3	2	An unsocial socialist	1917	0.82	1.0	nyp.33433075746275|uc2.ark+=13960=t3rv0gv40|mdp.39015007694493	/works/OL1066453W	oclc	
OL1066935W	3	1	The reign of law	1900	0.89	1.0	mdp.39015014459955|uc2.ark+=13960=t7gq6sf0x|wu.89072357940	/works/OL1066935W	oclc	
OL1067590W	7	5	The scapegoat	1897	0.89	1.0	uc2.ark+=13960=t3tt4mg6g|mdp.39015039722270|uiuo.ark+=13960=t0qr53m1k|uiuo.ark+=13960=t4hm5hr35|uva.x030809061|uc2.ark+=13960=t6nz85m5k|nyp.33433074938584	/works/OL1067590W	oclc	
OL1067592W	4	3	The manxman	1894	0.9	1.0	uc2.ark+=13960=t2m61hb1j|uc1.b3579150|uc2.ark+=13960=t0ns0w38k|uc2.ark+=13960=t8hd7rz3j	/works/OL1067592W	oclc	
OL10688273W	2	2	Old Creole days	1906	0.88	1.0	uc1.b3550115|uc2.ark+=13960=t17m04t77	/works/OL10688273W	oclc	
OL1069636W	2	2	A young girl's diary	1921	0.81	1.0	mdp.39015010677816|uc2.ark+=13960=t9h41r976	/works/OL1069636W	oclc	
OL10703597W	1	1	America Kelsey	1915	0.7	0.999	uc1.$b799965	/works/OL10703597W	oclc	
OL10704801W	2	1	The bill-toppers, by André Castaigne; with illustrations by the author	1909	0.89	1.0	nyp.33433075820310|uc2.ark+=13960=t0vq2tt1q	/works/OL10704801W	oclc	
OL10707375W	3	1	Salt Lake;	1922	0.89	0.999	njp.32101067887081|nyp.33433075806962|uc2.ark+=13960=t7jq0ww1t	/works/OL10707375W	oclc	
OL10710305W	1	1	The Aztec treasure house	1890	0.89	0.999	mdp.39015059422140	/works/OL10710305W	oclc	
OL10712984W	1	1	Kobiety (Women);	1920	0.88	1.0	uc2.ark+=13960=t6tx3849s	/works/OL10712984W	oclc	
OL10717064W	2	1	The last abbot of Glastonbury	1886	0.89	1.0	uc1.b3321304|uc2.ark+=13960=t15m69b3r	/works/OL10717064W	oclc	
OL107199W	1	1	King-errant	1912	0.83	1.0	uc2.ark+=13960=t21c23089	/works/OL107199W	oclc	
OL107216W	2	2	On the face of the waters;	1897	0.89	1.0	uc2.ark+=13960=t43r1751d|mdp.39015002646134	/works/OL107216W	oclc	
OL10722970W	2	1	The teacher's Robinson Crusoe;	1910	0.8	1.0	uc2.ark+=13960=t8bg2x80f|umn.31951000781846r	/works/OL10722970W	oclc	
OL107236W	1	1	King of the air;	1907	0.82	1.0	uc2.ark+=13960=t88g8hn40	/works/OL107236W	oclc	
OL107238W	1	1	Rob the ranger	1907	0.85	0.998	mdp.39076002658008	/works/OL107238W	oclc	
OL107247W	1	1	Humphrey Bold	1909	0.89	1.0	uc2.ark+=13960=t3805079g	/works/OL107247W	oclc	
OL107418W	4	2	The emigrant ship	1893	0.9	1.0	uc2.ark+=13960=t58c9sk4x|uiuo.ark+=13960=t15m6vw1k|uiuo.ark+=13960=t1jh46p9h|uiuo.ark+=13960=t49p3q177	/works/OL107418W	oclc	
OL107434W	2	1	The frozen pirate	1887	0.9	1.0	uiuo.ark+=13960=t03x8wg41|uiuo.ark+=13960=t85h85b3r	/works/OL107434W	oclc	
OL107435W	1	1	Master Rockafellar's voyage	1913	0.88	0.998	uc2.ark+=13960=t9x063s7v	/works/OL107435W	oclc	
OL107437W	1	1	A sailor's sweetheart	1897	0.84	1.0	uva.x002264999	/works/OL107437W	oclc	
OL107440W	1	1	The yarn of Old Harbour Town	1905	0.89	1.0	uc2.ark+=13960=t3222x87t	/works/OL107440W	oclc	
OL107867W	3	1	Elizabeth's campaign	1918	0.89	1.0	mdp.39015063973286|nyp.33433075763817|uc2.ark+=13960=t6251pg4n	/works/OL107867W	oclc	
OL107881W	4	2	Lady Merton, colonist	1910	0.9	1.0	mdp.39015063973344|nyp.33433075764229|uc2.ark+=13960=t77s7rq5d|uc2.ark+=13960=t9862h54z	/works/OL107881W	oclc	
OL107885W	12	3	The history of David Grieve	1893	0.9	1.0	uc1.b3325265|uc1.b3325266|uc1.b3325267|uc2.ark+=13960=t7fq9vt8c|uc2.ark+=13960=t9571dg58|uiuo.ark+=13960=t6m04t34r|uiuo.ark+=13960=t6nz8vw1h|uiuo.ark+=13960=t9r21n79h|mdp.39015050610073|nyp.33433075764252|uc2.ark+=13960=t2t43rb1c|uc2.ark+=13960=t9765dw4z	/works/OL107885W	oclc	
OL107887W	2	1	'Missing,'	1917	0.89	1.0	nyp.33433075764211|uc2.ark+=13960=t39z91b5s	/works/OL107887W	oclc	
