id	title	ref_count
https://openalex.org/W4292655626	Eric Hayot. <i>Humanist Reason: A History. An Argument. A Plan</i>. New York: Columbia University Press, 2021. 324 pp.	1
https://openalex.org/W2063575520	Vocation and Voice	0
https://openalex.org/W2431648019	Simon Critchley. <i>The Ethics of Deconstruction: Derrida and Levinas</i>, 3d ed. Edinburgh: Edinburgh University Press, 2014. 352 pp.	0
https://openalex.org/W2093552080	What Novels Can Do That Films Can't (And Vice Versa)	0
https://openalex.org/W3114923261	Posts from the Pandemic: An Introduction	7
https://openalex.org/W2511884418	Bashir Makhoul and Gordon Hon. <i>The Origins of Palestinian Art</i>. Liverpool: Liverpool University Press, 2013. 269 pp.	0
https://openalex.org/W4234390091	Staging the Asian Modern: Cultural Fragments, the Singaporean Eunuch, and the Asian Lear	0
https://openalex.org/W4231922267	Editorial Note	0
https://openalex.org/W4235626635	Front Matter	0
https://openalex.org/W4248383394	Books of Critical Interest	0
https://openalex.org/W1975116157	Arts of Invention and Arts of Memory: Creation and Criticism	0
https://openalex.org/W4245858166	Books of Critical Interest	0
https://openalex.org/W1973054213	"""British Cannibals"": Contemplation of an Event in the Death and Resurrection of James Cook, Explorer"	0
https://openalex.org/W2051996906	Carnivore or Chameleon: The Fate of Cinema Studies	3
https://openalex.org/W1990644353	A Response to Paul de Man	0
https://openalex.org/W2000486490	Concerning the Sciences, the Arts: And the Humanities	9
https://openalex.org/W4280629841	James Leo Cahill and Luca Caminati, eds. <i>Cinema of Exploration: Essays on an Adventurous Film Practice</i>. New York: Routledge, 2021. 348 pp.	0
https://openalex.org/W2036513240	Fictitious Dealing: A Reply to Leo Bersani	1
https://openalex.org/W2808205613	Branden W. Joseph. <i>Experimentations: John Cage in Music, Art, and Architecture</i>. New York: Bloomsbury Academic, 2016. 217 pp.	0
https://openalex.org/W2082567458	History: Or Anthropology: Of Art?	0
https://openalex.org/W4255360690	Saint Paul and the New Man	0
https://openalex.org/W3145048253	Zoology, Magic, and Surrealism in the War on Terror	0
https://openalex.org/W1965138007	Response to Stanley Fish	0
https://openalex.org/W2038956608	The Ontology of the Enemy: Norbert Wiener and the Cybernetic Vision	0
https://openalex.org/W4241457392	Back Matter	0
https://openalex.org/W2603898104	Art, Life, Finality: The Metamorphoses of Beauty	0
https://openalex.org/W1995654032	The Pocket‐Size Interview with Jacques Derrida	0
https://openalex.org/W4251058946	hiccups	0
https://openalex.org/W4253128501	Adam O’Brien. <i>Film and the Natural Environment: Elements and Atmospheres</i>. New York: Wallflower Press, 2018. 144 pp.	1
https://openalex.org/W1989572702	Standards of Truth: The Arrested Image and the Moving Eye	0
https://openalex.org/W2950186824	Michael Fried. <i>What Was Literary Impressionism?</i> Cambridge, Mass.: Harvard University Press, 2018. 408 pp.	0
https://openalex.org/W2789837738	Stephen Durrant, Wai-yee Li, and David Schaberg, trans. <i>Zuo Tradition/Zuozhuan: Commentary on the “Spring and Autumn Annals.”</i> 3 vols. Seattle: University of Washington Press, 2016. 2,243 pp.	1
https://openalex.org/W1999390970	How We Got into Analysis, and How to Get out	0
https://openalex.org/W2062366882	"On the 'Universality' of Madness: Bessie Head's ""A Question of Power"""	0
https://openalex.org/W4214922354	Does Communist Art Exist?	2
https://openalex.org/W4236258196	Noise	0
https://openalex.org/W1579779307	VLetter to the Editors	1
https://openalex.org/W2014792487	RealFeel: Banality, Fatality, and Meaning in Kenneth Goldsmith's <i>The Weather</i>	5
https://openalex.org/W2011718855	Two Kinds of Other and Their Consequences	0
https://openalex.org/W1983789583	Browning's Lyric Intentions	0
https://openalex.org/W2064948574	"How It Feels to Be a Problem: Du Bois, Fanon, and the ""Impossible Life"" of the Black Intellectual"	0
https://openalex.org/W4200607386	Front Matter	0
https://openalex.org/W4245079998	Our Neo-Cartesian Bodies in Parts	0
https://openalex.org/W4214889708	Ryan Johnson. <i>Transnationalism and Translation in Modern Chinese, English, French and Japanese Literatures</i>. New York: Anthem Press, 2021. 216 pp.	0
https://openalex.org/W3149582262	The Flight of Form: Auden, Bruegel, and the Turn to Abstraction in the 1940s	0
https://openalex.org/W1992787227	Aufbau/Bauhaus: Logical Positivism and Architectural Modernism	0
https://openalex.org/W2009011634	VIWit and Poetry and Pope, or The Handicap Principle	2
