work_key	title	year	author_names	subject_keys	edition_count	judgment	note
/works/OL1242871W	Les Mémoires de Maigret	1950	Georges Simenon	biographies|continental_european_fiction_(fictional_works_by_one_author)|fiction|fiction_mystery__detective_police_procedural|ficção_francesa|france_fiction|jules_maigret_(fictitious_character)|maigret_jules_(fictitious_character)_fiction|paris_(france)_fiction|police|romance_literature	31		
/works/OL6438821W	Keeper of the keys	1932	Earl Derr Biggers	chan_charlie_(fictitious_character)_fiction|charlie_chan_(fictitious_character)|fiction|fiction_mystery__detective_general|fiction_mystery__detective_police_procedural|hawaii_fiction|police|police_in_fiction	49		
/works/OL1242876W	Feux rouges	1949	Georges Simenon	automobile_travel|detective_and_mystery_stories|ex-convicts|fiction|fiction_psychological|fiction_suspense|fiction_thrillers_suspense|married_people|married_people_fiction|men|psychology|romance_literature|united_states_fiction	13		
/works/OL4187351W	Crime at Christmas	1934	C. H. B. Kitchin	crime_fiction|fiction|fiction_christian_general|fiction_mystery__detective_general|golden_age_mystery|investigation|murder|stockbrokers	9		
/works/OL85516W	O telefteos pirasmos	1901	Nikos Kazantzakis	bible|christian_fiction|continental_european_fiction_(fictional_works_by_one_author)|dutch_fiction|fiction|greek_literature_modern|history_of_biblical_events|history_of_new_testament_events|modern_greek_fiction|modern_greek_literature|new_testament|translations_into_english	39		
/works/OL472189W	Dumb Witness	1937	Agatha Christie	accidents|comic_books_strips|england_fiction|english_literature|fiction|fiction_mystery__detective_general|fiction_mystery__detective_traditional|hercule_poirot_(fictitious_character)|investigation|large_type_books|last_letters_before_death|murder|mystery|poirot_hercule_(fictitious_character)_fiction|private_investigators|private_investigators_in_fiction	97		
/works/OL63072W	A Farewell to Arms	1929	Ernest Hemingway	1914-1918_world_war|813.52|actors|american_fiction|american_fiction_(fictional_works_by_one_author)|american_literature|american_war_stories|american_writers_1900-1945_-_texts|amerikanisches_englisch|autographs|biography|campaigns|cuentos_de_guerra|déserteurs|ficción|fiction|fiction_in_english|fiction_romance_historical|fiction_war__military|français_(langue)|german_language_materials|guerra_mundial_i_1914-1918|guerre_mondiale_1914-1918|lectures_et_morceaux_choisis|man-woman_relationships_fiction|military_deserters|national_theatre_(new_york_n.y.__houston_street_and_2nd_avenue)|open_library_staff_picks|open_syllabus_project|ps3515.e37_f3_2012|roman|romans_nouvelles|spain_fiction|theater|war|war_stories_fiction|world_war_(1914-1918)|world_war_(1914-1918)_fast_(ocolc)fst01180746|world_war_1914-1918--fiction|world_war_i_1914-1918|world_war_i_1914-1918_fiction	100		
/works/OL4528061W	Tree in the trail	1942	Holling Clancy Holling	children's_fiction|fiction|history|juvenile_fiction|santa_fe_national_historic_trail_fiction|trees|trees_fiction	8		
/works/OL69699W	A Lady of Quality	1896	Frances Hodgson Burnett	classic_literature|england_fiction|fiction|fiction_historical_general|fiction_romance_general|fiction_romance_historical|general|history|nobility|young_women|young_women_fiction	40		
/works/OL804282W	Thieves in the night	1946	Arthur Koestler	fiction|jews|jews_in_fiction	17		
/works/OL52228W	The wife of Sir Isaac Harman	1914	H. G. Wells	england_in_fiction|feminism|fiction|fiction_historical_general|man-woman_relationships|upper_class|upper_class_in_fiction	23		
/works/OL1797258W	The White Morning	1918	Gertrude Atherton	california_fiction|fiction|fiction_historical_general|fiction_war__military|germany_fiction|women	23		
/works/OL1238073W	Fontamara	1933	Ignazio Silone	continental_european_fiction_(fictional_works_by_one_author)|fiction|history|italian_language|readers	43		
/works/OL647118W	David Blaize	1916	E. F. Benson	craig_paterson|david_blaize|england|fiction|fiction_general|fiction_humorous_general|friendship|preparatory_schools|public_schools|viewforth_press	33		
/works/OL1145604W	Queer stories for boys and girls	1884	Edward Eggleston	fiction_short_stories_(single_author)|short_stories	20		
/works/OL4745548W	Invitation to the waltz	1932	Rosamond Lehmann	american_fiction_(fictional_works_by_one_author)|dance|english_fiction|fiction|fiction_coming_of_age|fiction_general|fiction_in_english|girls|interpersonal_relations|large_type_books|sisters|youth	15		
/works/OL114611W	The demon lover	1927	Violet M. Firth (Dion Fortune)	fiction|fiction_horror|fiction_occult__supernatural|fiction_visionary__metaphysical|psychic_ability	11		
/works/OL6585798W	The Line of Love	1905	James Branch Cabell	american_short_stories|children|children's_stories|conduct_of_life|fiction|juvenile_fiction|library|middle_ages|personal_copy	40		
/works/OL827326W	The Beetle	1897	Richard Marsh|Satomi Sugita	antiquities|british|brothers|brothers_fiction|classic_literature|collection_and_preservation|comic_books_strips|comics__graphic_novels_manga_gay__lesbian|egypt_fiction|egyptologists|english_literature|fiction|fiction_gothic|fiction_horror|fiction_occult__supernatural|gay_youth|london_(england)_fiction|monsters|politicians|revenge|thriller	190		
/works/OL18521604W	The inside of the cup	1913	Winston Churchill	christians|classic_literature|fiction|hypocrisy|poverty	99		
/works/OL8608165W	Guy Garrick	1912	Arthur B. Reeve	classic_literature|fiction|fiction_action__adventure|mystery	26		
