openlibrary_work_key	selection_title	selection_author	hathitrust_volume_count	htid_count_api	pd_count_api	record_count	matched_oclc	oclc_tried	htid_count_title	pd_count_title	matched_title	matched_author	source	hathitrust_htid_count_current	hathitrust_pd_count_current	hathitrust_source_current	historical_htid_count	historical_current_mismatch	hathitrust_htid_count_final	hathitrust_pd_count_final	hathitrust_source_final	hathitrust_review_status	historical_final_changed
/works/OL43405505W	Lady Chatterley's Lover	D. H. Lawrence	1	0.0	0.0	0.0		2.0	1.0	0.0	Lady Chatterley's lover / With an introd. by Mark Schorer.	Lawrence, D. H. 1885-1930.	hathifiles_title	1	0	title_fallback	1	0	1	0	title_fallback_reviewed	accepted	0
/works/OL41540816W	Robert Elsmere	Mrs. Humphry Ward	20						20.0	20.0	Robert Elsmere / by Mrs. Humphry Ward.	Ward, Humphry, Mrs., 1851-1920.	hathifiles_title	20	20	title_fallback	20	0	20	20	title_fallback_reviewed	accepted	0
/works/OL1487721W	Alas	Rhoda Broughton	11	11.0	11.0	1.0	3898313.0	1.0						11	11	api	11	0	11	11	api	accepted	0
/works/OL82929W	As I Lay Dying	William Faulkner	1	1.0	0.0	1.0	13904298.0	10.0						1	0	api	1	0	1	0	api	accepted	0
/works/OL2107271W	Stepsons Of Light	Eugene Manlove Rhodes	3	3.0	3.0	1.0	2109962.0	2.0						3	3	api	3	0	3	3	api	accepted	0
/works/OL509889W	The Good Soldier	Ford Maddox Ford	2											0	0	none	2	1	1	1	corrected_metadata_retry	accepted_after_identity_correction	1
/works/OL4315764W	The Heavenly Twins	Sarah Grand	1	1.0	0.0	1.0	27145837.0	5.0						1	0	api	1	0	1	0	api	accepted	0
/works/OL14942956W	The Call of the Wild	Jack London	1	1.0	1.0	1.0	1159548.0	10.0						1	1	api	1	0	1	1	api	accepted	0
/works/OL109153W	Grand Babylon Hotel	Arnold Bennett	3	3.0	3.0	1.0	8163903.0	8.0						3	3	api	3	0	3	3	api	accepted	0
/works/OL1217993W	Three Soldiers	John Dos Passos	3	3.0	0.0	1.0	282830.0	8.0						3	0	api	3	0	3	0	api	accepted	0
/works/OL112798W	Marrow of Tradition	Mary Chesnutt	5	5.0	5.0	1.0	30352336.0	10.0						5	5	api	5	0	5	5	api	accepted	0
/works/OL65437W	At Fault	Kate Chopin	2	2.0	0.0	1.0	24367288.0	9.0						2	0	api	2	0	2	0	api	accepted	0
/works/OL38827W	The Shadow-Line	Joseph Conrad	3	3.0	3.0	1.0	4774404.0	10.0						3	3	api	3	0	3	3	api	accepted	0
