work_key	title	year	author_names	subject_keys	edition_count	judgment	note
/works/OL76460W	The incredulity of Father Brown	1920	Gilbert Keith Chesterton	brown_father_(fictitious_character)_fiction|catholic_church_clergy_fiction|catholics|clergy|england_fiction|english_detective_and_mystery_stories|english_literature|english_short_stories|father_brown_(fictitious_character)|fiction|fiction_mystery__detective_general|fiction_mystery__detective_traditional|large_type_books|spanish_detective_and_mystery_stories	129		
/works/OL1206491W	Men and wives	1931	Ivy Compton-Burnett	couples|families|fiction|fiction_family_life|fiction_romance_general	22		
/works/OL262383W	The Master Key	1901	L. Frank Baum	children's_stories|electricity|fantasy|fiction|fiction_fantasy_general	162		
/works/OL1112728W	Clara Hopgood	1896	William Hale White	feminism|fiction|sisters|unmarried_mothers|women_biography	43		
/works/OL3901386W	Lonesome Road	1939	Patricia Wentworth	attempted_murder|attempted_murder_--_england_--_fiction|detective_and_mystery_stories|england|england_--_fiction|england_fiction|families|families_--_england_--_fiction|fiction|fiction_mystery__detective_women_sleuths|heiresses|heiresses_--_england_--_fiction|london_(england)_fiction|maud_silver_(fictional_character)|maud_silver_(fictitious_character)|phonetics|semantics|silver_maud_(fictitious_character)|silver_maud_(fictitious_character)_--_fiction|silver_maud_(fictitious_character)_fiction|women_detectives|women_detectives_--_england_--_fiction|women_private_investigators	25		
/works/OL1088821W	A Monk of Fife	1895	Andrew Lang	fiction|fiction._i._title|fiction_general|fiction_historical_general|fiction_religious|france_fiction|history	91		
/works/OL5115523W	The house of a thousand candles	1905	Meredith Nicholson	fiction|fiction_general|indiana_fiction	182		
/works/OL137363W	The album	1933	Mary Roberts Rinehart	american_detective_and_mystery_stories|fiction|fiction_general|fiction_mystery__detective_general|large_type_books|murder|mystery|suburbs|thriller	19		
/works/OL485468W	The Light of the Western Stars	1910	Zane Grey	fiction|fiction_general|fiction_westerns|frontier_and_pioneer_life_fiction|mexico_fiction|new_mexico_fiction|westerns|women_pioneers	226		
/works/OL3389025W	The house of souls	1906	Arthur Machen	english_horror_tales|fiction|fiction_fantasy_collections__anthologies|fiction_horror|fiction_occult__supernatural|fiction_short_stories_(single_author)|paranormal_fiction|supernatural	86		
/works/OL485419W	Code of the West	1934	Zane Grey	american_literature|fiction|fiction__romance__western|fiction__westerns|fiction_in_english|fiction_westerns|frontier_and_pioneer_life|large_type_books|man-woman_relationships|west_(u.s.)_fiction|western_stories|westerns|women	74		
/works/OL67235W	A country doctor	1884	Sarah Orne Jewett	american_fiction_(fictional_works_by_one_author)|classic_literature|country_life|country_life_in_fiction|fiction|fiction_medical|history_of_medicine|new_england_fiction|new_england_in_fiction|nonfiction|physicians|physicians_fiction|sociology|women_medical_students|women_medical_students_in_fiction|women_physicians|women_physicians_fiction|women_physicians_in_fiction	15		
/works/OL485543W	To the Last Man	1921	Zane Grey	arizona_fiction|cattle_stealing|fiction|fiction_historical_general|fiction_romance_western|fiction_westerns|illegitimacy|illegitimate_children|open_library_staff_picks|ranchers|vendetta|westerns	270		
/works/OL52259W	Love and Mr. Lewisham	1899	H. G. Wells	british_and_irish_fiction_(fictional_works_by_one_author)|classic_literature|couples|education|fiction|fiction_historical_general|satire	118		
/works/OL7425056W	Nightmare alley	1946	William Lindsay Gresham	circus_performers|crime_fiction|fiction|fiction_general|fiction_mystery__detective_general|mediums|swindlers_and_swindling	11		
/works/OL2004304W	Pearls Before Swine	1940	Margery Allingham	albert_campion_(fictitious_character)|campion_albert_(fictitious_character)_fiction|détectives|england_fiction|fiction|fiction_mystery__detective_general|fiction_mystery__detective_historical|fiction_mystery__detective_international_crime__mystery|fiction_mystery__detective_traditional|investigation|london_(england)_fiction|murder|private_investigators|private_investigators_fiction|private_investigators_in_fiction|romans_nouvelles	30		
/works/OL20143W	In black and white	1880	Rudyard Kipling	adventure_and_adventurers|fiction|short_stories	35		
/works/OL15441W	George MacDonald - An anthology	1946	George MacDonald|C. S. Lewis	christian_fiction|christian_life|drugs|english_fantasy_fiction|english_quotations|fiction|fiction_and_literature|meditations|quotations|quotations_maxims|religion|religion__spirituality|scottish_fantasy_fiction|scottish_quotations	20		
/works/OL10419085W	Подросток	1916	Фёдор Михайлович Достоевский	continental_european_fiction_(fictional_works_by_one_author)|fiction|history|identity_(philosophical_concept)|russian_authors|russian_fiction|social_conditions|social_life_and_customs|translations_into_english	78		
/works/OL51147W	Arrowsmith	1924	Sinclair Lewis	after_years_of_work_as_a_small_town_doctor_and_a_research_scientist_arrowsmith_heads_for_the_west_indies_with_a_serum_to_halt_an_epidemic._a_tragic_turn_of_events_forces_him_to_come_to_terms_with_his_career_and_his_personal_life|american_fiction|american_fiction_(fictional_works_by_one_author)|american_literature|americans|avarice|awardpulitzer_prize1926|awardpulitzer_prizefiction|clergy|evangelists|fiction|fiction_classics|fiction_general|fiction_medical|fiction_satire|general_linguistics|language._linguistics._literature|linguistics_and_languages|literature|married_people|medical_ethics|medical_novels|medicine|medicine_in_literature|middle_class|modern_literature|new_york_times_reviewed|open_library_staff_picks|physicians|practice|protestant_churches|pulitzer_prize_winner|reading_level-grade_10|reading_level-grade_11|reading_level-grade_12|reading_level-grade_7|reading_level-grade_8|reading_level-grade_9|research|retired_executives|satire|scientists|social_life_and_customs	149		
/works/OL476838W	A gallery of children	1925	A. A. Milne	children's_fiction|children's_stories|children's_stories_english|children_fiction|religion|short_stories|spirituality	16		
/works/OL11675949W	Hong lou meng	1900	Tsʻao, Hsüeh-chʻin.|(qing) Cao, xue qin|Cao xue qin	baoyu_jia_(fictitious_character)|chang_pian_xiao_shuo|chia_pao-yu_(fictitious_character)_fiction|china_fiction|chinese_classical_fiction|chinese_fiction|chu_zhong|families|fiction|fiction_general|fiction_historical|fiction_historical_general|gu_dian_xiao_shuo|history|illustrations|juvenile_literature|ke_wai_du_wu|near_and_far_eastern_fiction_(fictional_works_by_one_author)|popular_print_disabled_books|qing_dynasty_(china)|social_life_and_customs|translation_into_english|translations_into_english|upper_class|women|zhang_hui_xiao_shuo|zhong_xue_yu_wen_ke	152		
/works/OL380242W	The Pool in the Desert	1903	Sara Jeannette Duncan	british|canada_fiction|canadian_short_stories_(english)_cihm|classic_fiction|classics|fiction|fiction_general|fiction_short_stories_(single_author)|history|india_fiction|literature_-_classics__criticism|nouvelles_canadiennes-anglaises_icmh|social_life_and_customs|women	22		
