ol_work_key	ol_title	ol_author_name	goodreads_work_id	title_match_type	combined_identity_status	resolved_gr_name	resolved_ol_name	resolved_person_qid	cross_source_corroborated	newly_resolved_by_wikidata	goodreads_candidate_count	goodreads_id_consistent	generic_author_identity	promotion_eligible	proposed_resolution_status
/works/OL637777W	Los Pazos de Ulloa	Pardo Bazán, Emilia	67611	WORK_FULL	SAME_PERSON_OL_DIRECT	Emilia Pardo Bazan	Emilia Pardo Bazán		0	0	1	1	0	1	AUTO_MATCH_IDENTITY_EVIDENCE
/works/OL905626W	الروض العاطر في نزهة الخاطر	ʻUmar ibn Muḥammad Nafzāwī	1447401	BOOK_FULL	SAME_PERSON_OL_ALIAS	Mohammed El Nefzaoui	Mohammed El Nefzaoui		0	0	1	1	0	1	AUTO_MATCH_IDENTITY_EVIDENCE
/works/OL637721W	La Tribuna	Pardo Bazán, Emilia	154655	WORK_FULL	SAME_PERSON_OL_DIRECT	Emilia Pardo Bazan	Emilia Pardo Bazán		0	0	1	1	0	1	AUTO_MATCH_IDENTITY_EVIDENCE
/works/OL637767W	Insolación	Pardo Bazán, Emilia	154661	WORK_FULL	SAME_PERSON_OL_DIRECT	Emilia Pardo Bazan	Emilia Pardo Bazán		0	0	1	1	0	1	AUTO_MATCH_IDENTITY_EVIDENCE
/works/OL41290W	La Regenta	Alas, Leopoldo	67266	BOOK_FULL	SAME_PERSON_OL_ALIAS	Leopoldo Alas ''Clarin''	"Leopoldo Alas ""Clarín"" | Leopoldo Alas Clarín | Leopoldo Alas - Clarin | Leopoldo Alas Clarin | Leopoldo alas clarin | Leopoldo Alas «Clarín» | Leopoldo Alas ""ClarIn"" | Leopoldo Alas -Clarín- | Leopoldo Alas Clarìn | Leopoldo Alas ""Clarin"" | Leopoldo Alas «CLARIN» | Leopoldo Alas «Clarin» | Leopoldo Alas ""clarin"""		0	0	1	1	0	1	AUTO_MATCH_IDENTITY_EVIDENCE
/works/OL1599689W	الحب تحت المطر	Maḥfūẓ, Najīb	6253651	BOOK_FULL	SAME_PERSON_OL_ALIAS	Naguib Mahfouz	Naguib Mahfouz | NAGUIB MAHFOUZ | naguib mahfouz		0	0	1	1	0	1	AUTO_MATCH_IDENTITY_EVIDENCE
/works/OL1198313W	Le silence de la mer	Jean Bruller	374911	WORK_FULL	SAME_PERSON_OL_DIRECT	Vercors	Vercors		0	0	1	1	0	1	AUTO_MATCH_IDENTITY_EVIDENCE
/works/OL1599685W	القاهرة الجديدة	Maḥfūẓ, Najīb	4640892	BOOK_FULL	SAME_PERSON_OL_ALIAS	Naguib Mahfouz	Naguib Mahfouz | NAGUIB MAHFOUZ | naguib mahfouz		0	0	1	1	0	1	AUTO_MATCH_IDENTITY_EVIDENCE
/works/OL827243W	L' Êve future	Villiers de L'Isle-Adam, Auguste	2641863	WORK_FULL	SAME_PERSON_OL_ALIAS	Villiers de L'Isle-Adam	Villiers de l'Isle-Adam | Villiers De L'Isle-Adam | Villiers de L'Isle-Adam | Villiers de l'Isle Adam | Villiers De L'Isle Adam | Villiers de L'Isle-adam | Villiers de L'isle Adam | Villiers de L'Isle Adam		0	0	1	1	0	1	AUTO_MATCH_IDENTITY_EVIDENCE
/works/OL1118216W	Под игото	Иван Минчов Вазов	882310	BOOK_FULL	SAME_PERSON_OL_GIVEN_COMPATIBLE	Ivan Vazov	Ivan Minchov Vazov		0	0	1	1	0	1	AUTO_MATCH_IDENTITY_EVIDENCE
/works/OL238799W	Dziennik Franciszki Krasińskiej	Klementyna Hoffmanowa-Tańska	19148958	BOOK_FULL	SAME_PERSON_OL_ALIAS	Klementyna Tanska Hoffmanowa	Klementyna Tańska-Hoffmanowa | Klementyna Tanska-Hoffmanowa		0	0	1	1	0	1	AUTO_MATCH_IDENTITY_EVIDENCE
/works/OL26693W	Cligès	Chrétien	1148600	WORK_FULL	SAME_PERSON_OL_DIRECT	Chretien de Troyes	Chrétien de Troyes		0	0	1	1	0	1	AUTO_MATCH_IDENTITY_EVIDENCE
