measure_1	measure_2	n	spearman_rho	p_value
OpenAlex semantic	JSTOR L&L	90	0.9157789810383221	1.2807079286580848e-36
OpenAlex semantic	Goodreads	90	0.8132443708536727	2.108279553571795e-22
JSTOR L&L	Goodreads	90	0.6480938218120654	5.01631485482359e-12
Goodreads	Open Library final	90	0.6391678333936983	1.2049809682686995e-11
OpenAlex semantic	Open Library final	90	0.556267115114	1.2532869705197662e-08
JSTOR L&L	Open Library final	90	0.42657075252178506	2.7603592736573975e-05
Goodreads	HathiTrust HTID final	90	0.03222362560121022	0.7630292522054575
OpenAlex semantic	HathiTrust HTID final	90	0.016397999362788594	0.878082203435541
JSTOR L&L	HathiTrust HTID final	90	-0.02446117178291398	0.8189859313526695
Open Library final	HathiTrust HTID final	90	-0.03403929449765552	0.7501030987528283
