work_id	work_key	first_publish_year	min_year_offset0	min_year_offset50	min_year_offset100	min_year_observed	status	offset0_entries	offset50_entries	offset100_entries
OL6943209W	/works/OL6943209W	1930	1930			1930	matched	12	0	0
OL7013714W	/works/OL7013714W	1918	1918			1918	matched	29	0	0
OL76578W	/works/OL76578W	1927	1927			1927	matched	50	0	0
OL78359W	/works/OL78359W	1943	1943			1943	matched	50	0	0
OL8070950W	/works/OL8070950W	1922	1922			1922	matched	36	0	0
OL8445008W	/works/OL8445008W	1933	1933			1933	matched	16	0	0
OL8608152W	/works/OL8608152W	1917	1917			1917	matched	34	0	0
OL873092W	/works/OL873092W	1910	1910			1910	matched	30	0	0
OL878922W	/works/OL878922W	1921	1921			1921	matched	39	0	0
OL98563W	/works/OL98563W	1925	1925			1925	matched	23	0	0
