work_key	jstor_mentions	openalex_snapshot_mentions	ol_edition_counts	htrc_ol_dump_match_summary_v2	canonical	title	author	type_threshold	type_kmeans
/works/OL101173W	0.0	0.0	12	0.0	0.0	The Hidden Places	Bertrand W. Sinclair	B_popular_unscholarly	
/works/OL101174W	0.0	0.0	10	2.0	0.0	Burned Bridges	Bertrand W. Sinclair	B_popular_unscholarly	
/works/OL101181W	0.0	1.0	4	0.0	0.0	The root and the flower	Myers, L. H.	A_true_canon	
/works/OL101316W	0.0	0.0	2	0.0	0.0	As a man sows, and other stories	Litchfield, Grace Denio	B_popular_unscholarly	
/works/OL101318W	0.0	0.0	2	0.0	0.0	Little Venice, and other stories	Litchfield, Grace Denio	B_popular_unscholarly	
/works/OL101509W	0.0	0.0	3	0.0				B_popular_unscholarly	
/works/OL101680W	0.0	0.0	3	1.0	0.0	"Portia; or, ""By passions rocked."""	Margaret Wolfe (Hamilton) Hungerford	B_popular_unscholarly	
/works/OL101695W	0.0	0.0	11	1.0	0.0	A little rebel	Margaret Wolfe (Hamilton) Hungerford	B_popular_unscholarly	
/works/OL101930W	0.0	0.0	9	0.0	0.0	Nights Black Agent	Fritz Leiber	B_popular_unscholarly	
/works/OL101949W	0.0	0.0	24	0.0	0.0	Gather, darkness!	Fritz Leiber	B_popular_unscholarly	
/works/OL10215W	0.0	0.0	210	0.0				B_popular_unscholarly	
/works/OL10233W	0.0	1.0	6	0.0	0.0	The Artamonov business	Maksim Gorky	A_true_canon	
/works/OL102381W	0.0	1.0	21	0.0	0.0	Never come morning	Nelson Algren	A_true_canon	
/works/OL102382W	0.0	0.0	18	0.0	0.0	The neon wilderness	Nelson Algren	B_popular_unscholarly	
/works/OL102384W	1.0	0.0	38	0.0	0.0	The man with the golden arm	Nelson Algren	B_popular_unscholarly	
/works/OL10252004W	0.0	0.0	62	0.0	0.0	Sonata de primavera	Ramón del Valle Inclán	B_popular_unscholarly	
/works/OL10263W	2.0	31.0	688	0.0	0.0	Le petit prince	Antoine de Saint-Exupéry	A_true_canon	
/works/OL102653W	0.0	1.0	10	0.0	0.0	Great Short Works of Herman Melville	Herman Melville	A_true_canon	
/works/OL10267W	3.0	18.0	128	0.0	0.0	Vol de nuit	Antoine de Saint-Exupéry	A_true_canon	
/works/OL102707W	0.0	1.0	4	0.0	0.0	Billy Budd and other stories	Herman Melville	A_true_canon	
/works/OL102709W	1.0	1.0	5	0.0	0.0	The Complete Stories of Herman Melville	Herman Melville	A_true_canon	
/works/OL102725W	0.0	1.0	8	0.0	0.0	Selected Tales and Poems	Herman Melville	A_true_canon	
/works/OL102726W	6.0	3.0	5	0.0	0.0	The Works of Herman Melville	Herman Melville	A_true_canon	
/works/OL10272W	1.0	6.0	34	0.0	0.0	Citadelle	Antoine de Saint-Exupéry	A_true_canon	
/works/OL102733W	0.0	11.0	28	0.0				A_true_canon	
/works/OL102746W	35.0	28.0	90	0.0	0.0	Billy Budd	Herman Melville	A_true_canon	
/works/OL10302790W	3.0	7.0	9	0.0	0.0	Anna Livia Plurabelle	Joyce, James	A_true_canon	
/works/OL10306370W	0.0	0.0	1	0.0	0.0	The Bodley grandchildren and their journey in Holland	Scudder, Horace Elisha	D_forgotten	
/works/OL10307197W	0.0	0.0	1	0.0	0.0	The hero of Manila	Johnson, Rossiter	D_forgotten	
/works/OL10307364W	0.0	0.0	1	0.0	0.0	Little people and their homes in meadows, woods and water	Stella Louise Hook	D_forgotten	
/works/OL10307531W	0.0	0.0	1	0.0	0.0	In good old colony times	William H. Sayward	D_forgotten	
/works/OL10310635W	0.0	0.0	4	0.0	0.0	Guilty men	Cato.	B_popular_unscholarly	
/works/OL103118W	3.0	1.0	61	0.0	0.0	Dandelion Wine	Ray Bradbury	A_true_canon	
/works/OL103134W	2.0	0.0	138	0.0	0.0	The Martian Chronicles	Ray Bradbury	A_true_canon	
/works/OL10323207W	0.0	0.0	2	0.0	0.0	A catalogue of books in first editions	Grolier Club	B_popular_unscholarly	
/works/OL10323746W	0.0	0.0	3	2.0	0.0	Fortuna	James Blanchard Clews	B_popular_unscholarly	
/works/OL10324222W	0.0	0.0	1	0.0	0.0	The joyous friar; the story of Fra Filippo Lippi	Arthur James Anderson	D_forgotten	
/works/OL10325176W	0.0	0.0	2	0.0				B_popular_unscholarly	
/works/OL10326441W	1.0	0.0	3	2.0	0.0	The story of Antonio	Antonio Andrea Arrighi	B_popular_unscholarly	
/works/OL10326788W	0.0	0.0	1	0.0	0.0	Supposed diary of President Lincoln from the repeal of the Missouri compromise in 1854 until April 14, 1865	Milton Robison Scott	D_forgotten	
