work_id	oclc	htid	recordid	locnum	author	imprint	date	place	enumcron	subjects	title	prob80precise	genrepages	totalpages	englishpct	datetype	startdate	enddate	imprintdate
OL108852W	23913047	uc2.ark+=13960=t77s7n59x	2448513		McSpadden, J. Walker	New York;Thomas Y. Crowell & co.;c1904.	1904	nyu			Stories of Robin Hood & his merry outlaws	0.87	310	346	1.0	s	1904.0	    	1904
OL1088821W	20467607	mdp.39015048883907	592291		Lang, Andrew,	London;New York [etc.;Longmans Green and company;1896.	1896	enk		History;Charles VII, 1422-1461;France;1412-1431;of Arc, Saint;Joan;Fiction	A monk of Fife	0.9	401	417	1.0	s	1896.0	    	1896
OL1088954W	4401772	mdp.39015048883873	536332	PZ3.L25In	Lang, Andrew,	London;K. Paul, Trench & co.;1886?	1886	enk			In the wrong paradise	0.82	309	418	1.0	s	1886.0	    	1886
OL1088954W	4401772	mdp.39015048883881	536333		Lang, Andrew,	London;K. Paul, Trench & co.;1886?	1886	enk			In the wrong paradise	0.9	322	334	1.0	s	1886.0	    	1886
OL1088954W	4401772	uc2.ark+=13960=t9j38r93w	536332	PZ3.L25In	Lang, Andrew,	London;K. Paul, Trench & co.;1886?	1886	enk			In the wrong paradise	0.89	322	336	1.0	s	1886.0	    	1886
OL1090085W	1691968	uva.x001271265	9776461	PZ7.B193T	Baldwin, James,	New York;Cincinnati [etc.;American book company;c1905	1905	nyu			Thirty more famous stories retold	0.78	207	252	0.999	s	1905.0	    	1905
OL109135W	1981726	mdp.39015031225611	429922	PZ3.B438Den	Bennett, Arnold,	New York;E. P. Dutton & company;c1911	1911	nyu			Denry the audacious	0.89	346	370	1.0	s	1911.0	    	1911
OL109135W	1981726	nyp.33433074928965	429922	PZ3.B438Den	Bennett, Arnold,	New York;E. P. Dutton & company;c1911	1911	nyu			Denry the audacious	0.89	346	372	1.0	s	1911.0	    	1911
OL109135W	1981726	uc1.b3875169	429922	PZ3.B438Den	Bennett, Arnold,	New York;E. P. Dutton & company;c1911	1911	nyu			Denry the audacious	0.88	344	372	1.0	s	1911.0	    	1911
OL109135W	1981726	uc2.ark+=13960=t8cf9q761	429922	PZ3.B438Den	Bennett, Arnold,	New York;E. P. Dutton & company;c1911	1911	nyu			Denry the audacious	0.88	337	368	1.0	s	1911.0	    	1911
OL109153W	8163903	mdp.49015000914888	4474131		Bennett, Arnold,	New York;George H. Doran;c1902.	1902	nyu			The Grand Babylon Hotel	0.89	344	368	1.0	s	1902.0	    	1902
OL109201W	604386	mdp.39015031225207	430689	PZ3.B438Li	Bennett, Arnold,	New York;George H. Doran company;c1916	1916	nyu			The lion's share	0.9	416	432	1.0	s	1916.0	    	1916
OL109201W	604386	nyp.33433074926472	430689	PZ3.B438Li	Bennett, Arnold,	New York;George H. Doran company;c1916	1916	nyu			The lion's share	0.89	416	436	0.999	s	1916.0	    	1916
OL109201W	604386	uc2.ark+=13960=t9959jk0f	430689	PZ3.B438Li	Bennett, Arnold,	New York;George H. Doran company;c1916	1916	nyu			The lion's share	0.89	416	436	1.0	s	1916.0	    	1916
OL109210W	363059	mdp.39015004743947	427638	PZ3.B438Th	Bennett, Arnold,	New York;George H. Doran Company;c1915	1915	nyu			These twain	0.9	545	564	1.0	s	1915.0	    	1915
OL109210W	363059	nyp.33433074926589	427638	PZ3.B438Th	Bennett, Arnold,	New York;George H. Doran Company;c1915	1915	nyu			These twain	0.9	545	566	1.0	s	1915.0	    	1915
OL109210W	363059	uc2.ark+=13960=t27941d98	427638	PZ3.B438Th	Bennett, Arnold,	New York;George H. Doran Company;c1915	1915	nyu			These twain	0.9	545	562	1.0	s	1915.0	    	1915
OL109221W	3085709	uc2.ark+=13960=t6057wc8c	7696800		Bennett, Arnold,	London;Methuen;1912.	1912	enk			The matador of the Five Towns, and other stories	0.87	325	376	1.0	s	1912.0	    	1912
OL109221W	933530	nyp.33433074926498	6547858	PZ3.B438Mat	Bennett, Arnold,	New York;George H. Doran Company;c1912	1912	nyu			The matador of the Five Towns	0.88	407	440	1.0	s	1912.0	    	1912
