openlibrary_work_key	selection_title	selection_author	selected_ol_title	selected_ol_author	selection_title_mismatch	selection_author_mismatch	selected_work_edition_count	strict_matching_work_count	strict_merged_edition_count	additional_editions_from_split_works	edition_inflation_ratio	strict_matching_work_keys	fallback_used
/works/OL4315764W	The Heavenly Twins	Sarah Grand	The Heavenly Twins	Sarah Grand	0	0	17	2	18	1	1.0588235294117647	/works/OL4315764W|/works/OL16766420W	0
/works/OL40434746W	Tess of the D'Urbervilles	Thomas Hardy	Tess of the D'Urbervilles	Thomas Hardy	0	0	9	2	10	1	1.1111111111111112	/works/OL40434746W|/works/OL43906748W	0
/works/OL8193416W	The Picture of Dorian Gray	Oscar Wilde	The Picture of Dorian Gray	Oscar Wilde	0	0	3012	1	3012	0	1.0	/works/OL8193416W	0
/works/OL98501W	Ethan Frome	Edith Wharton	Ethan Frome	Edith Wharton	0	0	1000	1	1000	0	1.0	/works/OL98501W	0
/works/OL86320W	Dubliners	James Joyce	Dubliners	Joyce, James	0	0	996	1	996	0	1.0	/works/OL86320W	0
/works/OL85892W	Dracula	Bram Stoker	Dracula	Bram Stoker	0	0	736	1	736	0	1.0	/works/OL85892W	0
/works/OL245401W	The Prisoner of Zenda	Anthony Hope	The Prisoner of Zenda	Anthony Hope	0	0	627	1	627	0	1.0	/works/OL245401W	0
/works/OL1253285W	The Scarlet Pimpernel	Emma Orczy	The Scarlet Pimpernel	Orczy, Emmuska Orczy	0	0	591	1	591	0	1.0	/works/OL1253285W	0
/works/OL1168083W	Nineteen Eighty-Four	George Orwell	Nineteen Eighty-Four	George Orwell	0	0	532	1	532	0	1.0	/works/OL1168083W	0
/works/OL39396W	To the Lighthouse	Virginia Woolf	To the Lighthouse	Virginia Woolf	0	0	521	1	521	0	1.0	/works/OL39396W	0
/works/OL468488W	This Side of Paradise	F Scott Fitzgerald	This Side of Paradise	F. Scott Fitzgerald	0	0	495	1	495	0	1.0	/works/OL468488W	0
/works/OL39349W	Mrs. Dalloway	Virginia Woolf	Mrs. Dalloway	Virginia Woolf	0	0	476	1	476	0	1.0	/works/OL39349W	0
/works/OL100203W	Sister Carrie	Theodore Dreiser	Sister Carrie	Theodore Dreiser	0	0	463	1	463	0	1.0	/works/OL100203W	0
/works/OL39360W	Orlando	Virginia Woolf	Orlando	Virginia Woolf	0	0	452	1	452	0	1.0	/works/OL39360W	0
/works/OL276365W	The Portrait of a Lady	Henry James	The Portrait of a Lady	James, Henry	0	0	432	1	432	0	1.0	/works/OL276365W	0
/works/OL505740W	The Moon and Sixpence	W Somerset Maugham	The moon and sixpence	W. Somerset Maugham	0	0	397	1	397	0	1.0	/works/OL505740W	0
/works/OL509889W	The Good Soldier	Ford Maddox Ford	The Good Soldier	Ford Madox Ford	0	0	355	1	355	0	1.0	/works/OL509889W	0
/works/OL100237W	The Financier	Theodore Dreiser	The Financier	Theodore Dreiser	0	0	352	1	352	0	1.0	/works/OL100237W	0
/works/OL39329W	Jacob's Room	Virginia Woolf	Jacob's Room	Virginia Woolf	0	0	309	1	309	0	1.0	/works/OL39329W	0
/works/OL485410W	The Border Legion	Zane Grey	The border legion	Zane Grey	0	0	302	1	302	0	1.0	/works/OL485410W	0
/works/OL1794919W	The Pit	Frank Norris	The Pit	Frank Norris	0	0	291	1	291	0	1.0	/works/OL1794919W	0
/works/OL1794911W	McTeague	Frank Norris	McTeague	Frank Norris	0	0	289	1	289	0	1.0	/works/OL1794911W	0
/works/OL276470W	The Ambassadors	Henry James	The Ambassadors	James, Henry	0	0	231	1	231	0	1.0	/works/OL276470W	0
/works/OL12781W	Alexander's Bridge	Willa Cather	Alexander's Bridge	Willa Cather	0	0	229	1	229	0	1.0	/works/OL12781W	0
/works/OL262473W	The Mystery of the Cloomber	Arthur Conan Doyle	The Mystery of Cloomber	Doyle, Arthur Conan	0	0	215	1	215	0	1.0	/works/OL262473W	0
/works/OL63009W	For Whom the Bell Tolls	Ernest Hemingway	For Whom the Bell Tolls	Ernest Hemingway	0	0	182	1	182	0	1.0	/works/OL63009W	0
/works/OL144822W	Martin Eden	Jack London	Martin Eden	Jack London	0	0	168	1	168	0	1.0	/works/OL144822W	0
/works/OL100196W	The Genius	Theodore Dreiser	"The ""genius"""	Theodore Dreiser	0	0	164	1	164	0	1.0	/works/OL100196W	0
/works/OL62979W	The Sun Also Rises	Ernest Hemingway	The Sun Also Rises	Ernest Hemingway	0	0	162	1	162	0	1.0	/works/OL62979W	0
/works/OL35383W	Three Lives	Gertrude Stein	Three Lives	Gertrude Stein	0	0	149	1	149	0	1.0	/works/OL35383W	0
/works/OL38827W	The Shadow-Line	Joseph Conrad	The shadow-line	Conrad, Joseph	0	0	147	1	147	0	1.0	/works/OL38827W	0
/works/OL112798W	Marrow of Tradition	Mary Chesnutt	The marrow of tradition	Charles Waddell Chesnutt	0	0	144	1	144	0	1.0	/works/OL112798W	0
/works/OL65437W	At Fault	Kate Chopin	At Fault	Kate Chopin	0	0	127	1	127	0	1.0	/works/OL65437W	0
/works/OL27834207W	Return Of The Soldier	Nathaniel West	The Return of the Soldier	Rebecca West	0	0	95	1	95	0	1.0	/works/OL27834207W	0
/works/OL82870W	The Sound and the Fury	William Faulkner	The Sound and the Fury	William Faulkner	0	0	94	1	94	0	1.0	/works/OL82870W	0
/works/OL115067W	King Coal	Upton Sinclair	King Coal	Upton Sinclair	0	0	86	1	86	0	1.0	/works/OL115067W	0
/works/OL37277W	Autobiography of Alice B Toklas	Gertrude Stein	The Autobiography of Alice B. Toklas	Gertrude Stein	0	0	83	1	83	0	1.0	/works/OL37277W	0
