work_key	title	author	last_name	canonical	oa_count	via_title	via_abstract
/works/OL32873326W	Young Hopeful's schooldays, or, The secret of the seventh oak			0	0	0	0
/works/OL33119429W	Blindness	Green, Henry	green	0	5	5	0
/works/OL33121077W	A moment of time	Richard Hughes	hughes	0	1	1	0
/works/OL33313504W	The moon conquerors	R. H. Romans	romans	0	0	0	0
/works/OL3469691W	Women writers	B. G. MacCarthy	maccarthy	0	2	2	0
/works/OL36966939W	A poor man's house	Stephen Reynolds	reynolds	0	0	0	0
/works/OL39425320W	Sylvia's travels	Constance Smedley	smedley	0	0	0	0
/works/OL39500589W	Beverly Gray's challenge	Clair Blank	blank	0	0	0	0
/works/OL3979509W	The vicar's daughter	Young, E. H.	young	0	1	1	0
/works/OL4031984W	The fortnight in September	R. C. Sherriff	sherriff	0	2	2	0
/works/OL4104751W	Seven Footprints to Satan	Abraham Merritt	merritt	0	0	0	0
/works/OL42910541W	Polly's pension plans	Marian Lawrence Peabody	peabody	0	0	0	0
/works/OL42924482W	The talisman	Scott, Walter	scott	0	23	23	0
/works/OL42968384W	Friendly ocean	George Borodin	borodin	0	0	0	0
/works/OL4318055W	The mighty hunter	Berta Hader	hader	0	1	1	0
/works/OL43423236W	Dhidgerry Dhoo!	Owen E. Griffiths	griffiths	0	0	0	0
/works/OL43433833W	The black arrow	Robert Louis Stevenson	stevenson	0	9	9	0
/works/OL43487171W	Quentin Durward	Scott, Walter	scott	0	29	29	0
/works/OL43627051W	The woman in black	Zenith Jones Brown	brown	0	0	0	0
/works/OL43643983W	Hone tiki dialogues	Alfred A. Grace	grace	0	0	0	0
/works/OL4416369W	Get a horse	Bellamy Partridge	partridge	0	0	0	0
/works/OL4429446W	Harbor tales down north	Norman Duncan	duncan	0	0	0	0
/works/OL44408764W	The green light	Louise Landon	landon	0	0	0	0
/works/OL4468874W	Marching! Marching!	Clara Weatherwax	weatherwax	0	0	0	0
/works/OL44944397W	The perfect leaf	Frank A. Fortescue	fortescue	0	0	0	0
/works/OL44967940W	A Japanese maiden	Annie M. Piercy	piercy	0	0	0	0
/works/OL4528060W	Seabird	Holling Clancy Holling	holling	0	0	0	0
/works/OL45611W	Selections	Henry Fielding	fielding	0	1	1	0
/works/OL4677749W	Life of Tom Horn	Tom Horn	horn	0	1	1	0
/works/OL472742W	The Rose and the Yew Tree	Agatha Christie	christie	0	2	2	0
/works/OL5362130W	The earth is the Lord's	Taylor Caldwell	caldwell	0	0	0	0
/works/OL5509338W	Fall Over Cliff	Bell, Josephine	bell	0	0	0	0
/works/OL5886802W	Who's to blame?	Henry Fauntleroy	fauntleroy	0	0	0	0
/works/OL60454W	Ever after	Phyllis A. Whitney	whitney	0	0	0	0
/works/OL6522777W	... Letters from the country and the town	Alciphron	alciphron	0	0	0	0
/works/OL6601321W	Summer stranger	Louise Field Cooper	cooper	0	0	0	0
/works/OL6605492W	Dave Dawson at Casablanca	Robert Sidney Bowen	bowen	0	0	0	0
/works/OL67238W	The country of the pointed firs	Sarah Orne Jewett	jewett	0	3	3	0
/works/OL6832121W	The  hourglass	David Alman	alman	0	0	0	0
/works/OL6854317W	Shanghai honeymoon	Dekobra, Maurice	dekobra	0	0	0	0
/works/OL69150W	Criticism and fiction	William Dean Howells	howells	0	1	1	0
/works/OL7017858W	Red sepulchre, a story of adventure behind the Iron Curtain	Peter Simonds	simonds	0	1	1	0
/works/OL7025888W	Progressive readings in prose	Rudolph W. Chamberlain	chamberlain	0	1	1	0
/works/OL7150451W	Out of the Flame	Eloise Lownsbery	lownsbery	0	0	0	0
/works/OL724067W	The death of the heart	Elizabeth Bowen	bowen	0	0	0	0
/works/OL7411603W	Senorita from Chicago	Vida Hurst	hurst	0	0	0	0
/works/OL7424493W	Southbound ..	Anderson, Barbara Tunnell	anderson	0	1	1	0
/works/OL7424544W	Wheels in the timber	Evelyn Voss Wise	wise	0	0	0	0
/works/OL7427609W	Not with eyes only	Carver, George	carver	0	0	0	0
/works/OL7439933W	The story of Joseph	Josephine Sanger Lau	lau	0	0	0	0
/works/OL7441102W	Keep cool, Mr. Jones	Fuller, Timothy	fuller	0	0	0	0
/works/OL7539581W	Door nails never die	Anthony Wynne	wynne	0	0	0	0
/works/OL75405W	That stick	Yonge, Charlotte Mary	yonge	0	0	0	0
/works/OL7541910W	Peggy and the pup	Helen Sewell	sewell	0	0	0	0
/works/OL7637104W	The travels of a snail	Eleanor Hoffmann	hoffmann	0	0	0	0
/works/OL7649915W	Susan Merton's daughter	Louise Logan	logan	0	0	0	0
/works/OL7671685W	What dark secret	Dudley, Dorothy	dudley	0	0	0	0
/works/OL7707448W	We three	Howard Preble Cotton	cotton	0	0	0	0
/works/OL7716784W	The Quaker cross	Cornelia Mitchell Parsons	parsons	0	0	0	0
/works/OL7723410W	Hiram Blair	Drew Tufts	tufts	0	0	0	0
/works/OL7729792W	The mystery of Castlegreen	Mary Kerr Duke	duke	0	0	0	0
/works/OL7732516W	Idonia	Arthur Frederick Wallis	wallis	0	0	0	0
/works/OL7750032W	The messenger of Napoleon	R. N. Moffat	moffat	0	0	0	0
/works/OL7873628W	An unwilling maid	Jeanie Thomas Gould Lincoln	lincoln	0	0	0	0
/works/OL8127249W	The Fighting Chance	Chambers, Robert W.	chambers	0	0	0	0
/works/OL879220W	The purple land that England lost	Hudson, W. H.	hudson	0	0	0	0
/works/OL890321W	The tale of Chloe	Meredith, George	meredith	0	3	3	0
/works/OL893052W	The Swiss family Perelman	S. J. Perelman	perelman	0	0	0	0
/works/OL10535786W	... Faces in a dusty picture ..	Gerald Kersh	kersh	0	0	0	0
/works/OL10801838W	Catalogue of romances in the Department of Manuscripts in the British Museum	British Museum	museum	0	0	0	0
/works/OL1098360W	The Connoisseur and Other Stories	De la Mare, Walter	de la mare	0	0	0	0
/works/OL1100221W	Wakefield. A folk-masque of America	MacKaye, Percy	mackaye	0	0	0	0
/works/OL11250419W	In the coils, or, The coming conflict	Edwin Brown Graham	graham	0	0	0	0
/works/OL112618W	The Spider's Palace	Richard Hughes	hughes	0	0	0	0
/works/OL1132500W	The Cimbrians	Jensen, Johannes V.	jensen	0	0	0	0
/works/OL116134W	A little maid of Massachusetts Colony	Alice Turner Curtis	curtis	0	0	0	0
/works/OL11944240W	The Piccadilly Murder	Anthony Berkeley	berkeley	0	0	0	0
/works/OL1196766W	The lighter side of school life	Hay, Ian.	hay	0	2	2	0
/works/OL1206010W	Scheherazade	J. Y. T. Greig	greig	0	1	1	0
/works/OL1206480W	Bullivant and the lambs	I. Compton-Burnett	comptonburnett	0	0	0	0
/works/OL1218173W	A book of Canadian stories	Desmond Pacey	pacey	0	0	0	0
/works/OL1238540W	Bats in the Belfry	E. C. R. Lorac	lorac	0	0	0	0
/works/OL1281624W	Three contemporary Anglo-Welsh regional novelists	Gustav Felix Adam	adam	0	0	0	0
/works/OL13131348W	Works (Ethan Frome / Hermit and the Wild Woman and other stories)	Edith Wharton	wharton	0	0	0	0
/works/OL1337070W	Full moon	P. G. Wodehouse	wodehouse	0	1	1	0
/works/OL1379986W	Eskimo	Peter Freuchen	freuchen	0	1	1	0
/works/OL1418108W	Tarzan the Terrible (#8)	Edgar Rice Burroughs	burroughs	0	0	0	0
/works/OL1449641W	Hymnen an die Nacht	Novalis	novalis	0	5	5	0
/works/OL145509W	Hawk of Detroit	Pound, Arthur	pound	0	0	0	0
/works/OL1479844W	Blaze and the forest fire	Anderson, C. W.	anderson	0	0	0	0
/works/OL14848954W	The man from Mustang	Frederick Schiller Faust	faust	0	0	0	0
/works/OL14857732W	The Roman hat mystery, a problem in deduction	Ellery QUEEN	queen	0	0	0	0
/works/OL14857742W	To the Queen's taste	Ellery QUEEN	queen	0	0	0	0
/works/OL14877845W	The birthday of the infanta	Oscar Wilde	wilde	0	2	2	0
/works/OL15127479W	Many Inventions (Collected Works of Rudyard Kipling)	Kipling, Rudyard	kipling	0	0	0	0
/works/OL1515651W	Tales of the real gypsy	Paul Kester	kester	0	0	0	0
/works/OL1527017W	On the Kentucky frontier	Otis, James	otis	0	0	0	0
/works/OL15415838W	Looking beyond	Ludwig A. Geissler	geissler	0	0	0	0
/works/OL15550184W	Shelter	Marguerite Steen	steen	0	0	0	0
/works/OL156861W	Brief gaudy hour	Margaret Campbell	campbell	0	0	0	0
/works/OL15697135W	The romance of Gilbert Holmes	Marshall M. Kirkman	kirkman	0	0	0	0
/works/OL15860606W	The tower by the sea	Meindert De Jong	jong	0	0	0	0
/works/OL15865803W	Wanted: two bikes	Walter Retan	retan	0	0	0	0
/works/OL15867231W	Escape from the nuisances	Barbara Chapman	chapman	0	0	0	0
/works/OL1586911W	Incarnate Isis	Desmond, Shaw	desmond	0	0	0	0
