work_key	edition_count	ocaid_count	ocaid_first
/works/OL99535W	445	3	TheMagicCity
/works/OL462007W	441	39	peterpan0000barr_c1m8
/works/OL99539W	438	8	phoenixcarpe00enes
/works/OL76598W	437	10	bwb_KQ-361-834
/works/OL485453W	437	7	heritagedesert0000zane
/works/OL276365W	432	54	ladyportraitofaj01henrrich
/works/OL3388961W	431	4	legranddieupan0000mach
/works/OL44986W	425	60	isbn_9780553211917
/works/OL485697W	411	16	mysteriousrider0000grey_b1i9
/works/OL12831W	409	18	bwb_Y0-ARP-473
/works/OL505781W	407	32	ofhumanbondage00maug_2
/works/OL144821W	405	16	workslon02londuoft
/works/OL505740W	397	33	bwb_W6-AMP-505
/works/OL6438822W	390	3	cihm_71415
/works/OL74504W	387	79	whitefanglond00lond
/works/OL1088798W	384	3	bwb_P9-DBH-230
/works/OL2288684W	383	10	insidiousdrfuman0000rohm
/works/OL485477W	381	7	manofforest00grey
/works/OL77788W	381	24	isbn_9784102113448
/works/OL485498W	375	16	rainbowtrailroma0000grey
/works/OL1381165W	374	20	estherwatersever0000geor
/works/OL1159648W	374	75	goldenboughstudy0000fraz_w2n7
/works/OL25129727W	371	16	heddagabler0000ibse
/works/OL88876W	365	10	whereangelsfeart00forsuoft
/works/OL12830W	362	13	bwb_P8-AMA-134
/works/OL17531W	359	7	cleopatra0000hrid
/works/OL88878W	359	20	bwb_KU-627-141
/works/OL81293W	358	32	rainbow0000unse_p8d7
/works/OL1315930W	356	12	bwb_KT-541-582
/works/OL12789W	356	19	gpl_713283
/works/OL485469W	354	13	lonestarranger00grey
/works/OL24166W	352	77	kidnappedadventu00stev
/works/OL100237W	352	13	finansistroman0000drei
/works/OL100238W	351	19	titan0000drei_j9j6
/works/OL47721W	347	14	newsfromnowhere00morrgoog
/works/OL65430W	346	50	awakeningauthori00chop
/works/OL8074992W	345	6	donnegan00bran
/works/OL262596W	345	9	poisonbelt0000doyl
/works/OL485420W	341	14	desertgoldromanc0000zane
/works/OL77786W	340	11	storygirl0000mont
/works/OL76595W	339	18	presterjohn00buch_0
/works/OL17532W	339	8	sheandallan00hagggoog
/works/OL2239396W	336	19	againstgrain0000jkhu
/works/OL39108W	335	32	secretagentsimpl0000conr_s7q0
/works/OL109222W	334	10	riceymansteps0000benn_y5l7
/works/OL17445W	334	4	childofstorm00haggiala
/works/OL413674W	333	10	tomsawyerabroada0000mark
/works/OL54153W	333	13	theamericanclaim03179gut
/works/OL69625W	332	24	littlelordfauntl0000burn_x5i2
/works/OL81295W	332	31	sonslovers200lawr
/works/OL52269W	332	26	tonobungay01wellgoog
/works/OL27213717W	329	23	bwb_Y0-AGH-020
/works/OL8444981W	327	4	elusivepimpernel0000orcz_e1g5
/works/OL118393W	327	0	
/works/OL20165W	322	20	puckofpookshill0000rudy_r3h2
/works/OL23205W	321	69	grapesofwrath0000stei_j2k4
/works/OL2234917W	319	8	whosebody00saye_1
/works/OL109229W	319	5	ghostfantasiaonm0000benn
/works/OL77777W	316	6	emilyclimbs0000lmmo
/works/OL262581W	313	15	exploitsofbrigad0000doyl_i6t4
/works/OL8074846W	313	4	ridersofsilences00bran
/works/OL505730W	313	7	magician00maugrich
/works/OL40946456W	312	19	bwb_KU-153-853
/works/OL10432709W	312	38	in.ernet.dli.2015.460874
/works/OL468485W	312	30	neznajenoc0000fitz
/works/OL262455W	311	14	cu31924097556074
/works/OL88800W	311	1	machinestops0000unse
/works/OL77751W	310	33	anneofwindywillo0000lucy
/works/OL100236W	310	19	jenniegerhardta00dreigoog
/works/OL39329W	309	12	jacobsroom0000wool_l5q2
/works/OL17530W	308	6	bwb_KO-886-392
/works/OL17479W	306	4	benitaafricanrom00haggrich
/works/OL69630W	305	27	littleprincess0000unse_e5j3
/works/OL69601W	303	8	dreamdays0000grah_z1t7
/works/OL20170W	303	32	plaintalesfromhi00kipl_3
/works/OL39379W	303	13	unahabitacionpro0000wool
/works/OL176068W	302	6	blackrobe01coll
/works/OL485410W	302	10	borderlegion0000zane_i6x4
/works/OL98491W	301	57	ageofinnocence00culv
/works/OL4322177W	299	23	daddylonglegs03websgoog
/works/OL64369W	299	10	cromeyellow0000unse
/works/OL17460W	298	3	holyflower00hagg
/works/OL2775806W	298	10	pollyannagrowsup00port_0
/works/OL1065777W	296	0	
/works/OL381550W	295	18	islandofdrmoreau00hgwe_2
/works/OL77775W	294	15	bluecastlelmmont0000unse
/works/OL76597W	293	13	huntingtower0000buch_s0r6
/works/OL23204W	292	68	isbn_067052073
/works/OL485412W	292	11	callofcanyon0000zane_t0r7
/works/OL1794919W	291	20	pitstoryofchicag0000fran
/works/OL17536W	290	6	peoplemist01hagggoog
/works/OL1794911W	289	25	mcteaguestoryofs00norrrich
/works/OL2681032W	289	2	evilshepherd00oppeuoft
/works/OL137393W	289	2	streetsevenstars00rine
/works/OL262572W	288	10	synapseml_gutenberg_through_the_magic_door_by_arthur_conan_d
/works/OL262388W	288	0	
/works/OL262426W	286	22	casebookofsherlo0000doyl_q8r4
/works/OL485558W	284	15	wildfire00greyrich
/works/OL144824W	283	41	seawolf0000lond_o0u3
/works/OL99543W	283	8	wouldbegoods0000nesb_e9s7
/works/OL1794677W	283	4	cihm_27952
/works/OL17525W	280	10	bwb_W9-CRE-186
/works/OL1230715W	280	37	lapeste0000camu
/works/OL77747W	280	29	anneofingleside0000unse_z9t1
/works/OL24163W	280	29	catrionaasequel01stevgoog
/works/OL1176822W	280	5	afterlondon0000jeff
/works/OL166973W	278	23	idiot0000dost_h5z9
/works/OL17438W	276	5	ancientallan00hagg
/works/OL54147W	276	9	isbn_9780816732401
/works/OL27455W	273	82	returnofkingbeintolkie00tolk
/works/OL472073W	272	21	murderonlinksher0000chri
/works/OL76475W	271	6	manalive00chesgoog
/works/OL1156218W	270	3	royalbookofoz0000ruth
/works/OL485543W	270	8	tolastmananovel00greygoog
/works/OL286343W	270	3	iwillrepayaroma00orczgoog
/works/OL235280W	264	4	voyagetoarcturus0000davi
/works/OL485423W	264	10	desertwheatanov00brotgoog
/works/OL39567W	263	9	betweenacts0000wool_z6b4
/works/OL20169W	262	27	bwb_W7-CFN-099
/works/OL12798W	261	12	bwb_W9-BII-077
/works/OL20839W	260	14	maggie00cran_0
/works/OL1940374W	259	41	trilby0000unse_z9f7
/works/OL17437W	259	3	finished00haggiala
/works/OL6585796W	259	21	jurgencomedyofju0000cabe_b6v0
/works/OL6438811W	258	1	fiftycandles0000bigg
/works/OL17529W	257	9	montezumasdaught0000unse
/works/OL77780W	256	18	goldenroad0000lmmo_g1s6
/works/OL39316W	255	9	waves0000wool_z2q6
/works/OL38700W	254	36	nostromotaleofs00conr
/works/OL241517W	254	8	greatimpersonati0000oppe
/works/OL1518053W	253	2	angelofterror00walluoft
/works/OL457760W	250	25	cu31924027464647
/works/OL47752W	250	5	woodbeyondworld0000morr_q5c7
/works/OL1352095W	248	5	loststradivarius00falk
/works/OL471576W	247	47	murderonorientex0000agat_x6j4
/works/OL1794671W	247	3	wulfsaxonstoryof00hent
/works/OL8722827W	246	4	eldoradostoryofs00orcz
/works/OL1065758W	246	3	bidforfortunenov00bootiala
/works/OL19899W	245	9	justsostories00kipl_2
/works/OL267933W	244	78	isbn_9788190782616
/works/OL28429W	242	12	lejoueurdchecs0000stef
/works/OL8271329W	241	20	cu31924013571082
/works/OL15698347W	241	10	lescosaquessouve00tols
/works/OL2681022W	239	3	zeppelinspasseng00oppe
/works/OL872773W	239	20	steppenwolf00hess_2
/works/OL152238W	238	1	withherinourland00gilm
/works/OL51142W	238	8	freeair00lewi_1
/works/OL52257W	236	4	worldsetfreesto00welluoft
/works/OL262502W	236	12	cu31924013342906
/works/OL151430W	232	18	sylviebruno0000carr_y5p8
/works/OL276470W	231	28	ambassadors00jame_2
/works/OL1337129W	230	8	righthojeeves0000wode_f0r9
/works/OL4104767W	230	7	bwb_P8-BCF-466
/works/OL12781W	229	19	alexandersbridge0000cath_t7a8
/works/OL69602W	228	7	reluctantdragon0000kenn
/works/OL137395W	228	6	maninlowertenmrr00rineiala
/works/OL2646764W	228	3	cu31924022410819
/works/OL69032W	226	47	riseofsilaslapha00howe_1
/works/OL485468W	226	6	lightofwesternst0000grey
/works/OL2021957W	226	3	ottoofsilverhand00pylerich
/works/OL1418251W	226	12	tarzanoftheapes00burrrich
/works/OL5846465W	225	2	markofzorro00mccu
/works/OL1209288W	224	43	nybc210266
/works/OL1449046W	224	22	storyofdoctordol0000hugh_x2b2
/works/OL250352W	223	13	amateurcracksman00horn
/works/OL14870135W	223	5	themagicfishbone23344gut
/works/OL485465W	222	10	lastplainsmen00greyrich
/works/OL1417907W	221	5	atearthscore00burr
/works/OL471932W	220	37	isbn_0671498568
/works/OL276395W	219	33	washingtonsquare00henr
/works/OL76578W	219	4	bwb_KU-299-777
/works/OL20156W	219	11	actionsreactions0000kipl_m4r4
/works/OL308575W	217	12	gitanjalisongoff00tagouoft
/works/OL47750W	216	3	lasourceauboutdu0000morr
/works/OL471940W	216	19	poirotinvestigat00chri
/works/OL1487943W	216	5	sorrowsofsatanor00corerich
/works/OL485683W	216	0	
/works/OL39571W	215	8	nightday0000wool
/works/OL262473W	215	8	mysteryofcloombe0000doyl
/works/OL485467W	215	21	cu31924005634633
/works/OL1253282W	215	6	manincorner0000orcz
/works/OL17535W	214	7	ericbrighteyes0000hrid
/works/OL19969W	214	15	stalkycieroman00kiplgoog
/works/OL1064277W	214	9	arsenelupingentl0000mleb
/works/OL250353W	214	6	cihm_74662
/works/OL76479W	213	8	whatswrongwithwo00chesuoft
/works/OL52252W	213	7	indaysofcomet0000well_o8q1
/works/OL1418137W	212	5	warlordofmars0000burr
/works/OL100239W	210	28	americantragedy0000unse_x2w9
/works/OL471565W	210	43	bwb_O7-CDO-590
/works/OL10215W	210	7	lish00evge
/works/OL286350W	210	1	leagueofscarletp00orcz
/works/OL278688W	209	2	dreamofjohnball0000morr
/works/OL8202750W	209	13	enchantedapril0000eliz
/works/OL30033W	208	11	jackandjill00alcorich
/works/OL1418128W	207	2	thuviamaidofmars0000burr
/works/OL1190284W	207	23	citiesofplain00prourich
