work_key	work_title	work_author	total_candidates	sampling_method	sampling_seed	sampled_n	include_substantive_n	include_mention_n	broad_visibility_include_n	exclude_non_scholarly_n	exclude_unrelated_n	unclear_n	error_n	broad_visibility_rate_among_decided	model	prompt_version	included_n	decided_n	scholarly_rate	estimated_scholarly_count	raw_rank	semantic_rank	rank_shift	abs_rank_shift
/works/OL63009W	For Whom the Bell Tolls	Ernest Hemingway	249	uniform_reservoir_sampling	20260713	40	29	3	32	6	1	1	0	0.821	gpt-5-mini	literary_visibility_v4_final_20260818	32	39	0.8205128205128205	204.3076923076923	59.0	50.0	-9.0	9.0
/works/OL118986W	Germinal	Emile Zola	194	uniform_reservoir_sampling	20260713	40	27	1	28	7	3	2	0	0.737	gpt-5-mini	literary_visibility_v4_final_20260818	28	38	0.7368421052631579	142.94736842105263	68.0	66.0	-2.0	2.0
/works/OL44368791W	Gulliver's travels	Swift, Jonathan	491	uniform_reservoir_sampling	20260713	40	22	2	24	12	2	2	0	0.632	gpt-5-mini	literary_visibility_v4_final_20260818	24	38	0.631578947368421	310.10526315789474	29.0	33.0	4.0	4.0
/works/OL42601058W	Hard times	Charles Dickens	315	uniform_reservoir_sampling	20260713	40	27	3	30	5	2	3	0	0.811	gpt-5-mini	literary_visibility_v4_final_20260818	30	37	0.8108108108108109	255.40540540540545	44.0	39.0	-5.0	5.0
/works/OL31971259W	Heart of Darkness	Conrad, Joseph	1005	uniform_reservoir_sampling	20260713	40	28	3	31	4	2	3	0	0.838	gpt-5-mini	literary_visibility_v4_final_20260818	31	37	0.8378378378378378	842.027027027027	12.0	8.0	-4.0	4.0
/works/OL25129727W	Hedda Gabler	Henrik Ibsen	156	uniform_reservoir_sampling	20260713	40	30	0	30	6	2	2	0	0.789	gpt-5-mini	literary_visibility_v4_final_20260818	30	38	0.7894736842105263	123.15789473684212	76.0	69.0	-7.0	7.0
/works/OL276471W	Henry James	James, Henry	5613	uniform_reservoir_sampling	20260713	40	22	2	24	8	7	1	0	0.615	gpt-5-mini	literary_visibility_v4_final_20260818	24	39	0.6153846153846154	3454.153846153846	3.0	2.0	-1.0	1.0
/works/OL29305W	Henry James	Leon Edel	144	uniform_reservoir_sampling	20260713	40	3	4	7	26	7	0	0	0.175	gpt-5-mini	literary_visibility_v4_final_20260818	7	40	0.175	25.2	80.0	121.0	41.0	41.0
/works/OL88881W	Howards End	E. M. Forster	182	uniform_reservoir_sampling	20260713	40	27	6	33	3	1	3	0	0.892	gpt-5-mini	literary_visibility_v4_final_20260818	33	37	0.8918918918918919	162.32432432432432	70.0	57.0	-13.0	13.0
/works/OL7906207W	In action	Frederick Britten Austin	60	uniform_reservoir_sampling	20260713	40	0	0	0	21	19	0	0	0.0	gpt-5-mini	literary_visibility_v4_final_20260818	0	40	0.0	0.0	113.0	135.0	22.0	22.0
/works/OL39329W	Jacob's Room	Virginia Woolf	160	uniform_reservoir_sampling	20260713	40	28	1	29	4	2	5	0	0.829	gpt-5-mini	literary_visibility_v4_final_20260818	29	35	0.8285714285714286	132.57142857142858	75.0	68.0	-7.0	7.0
/works/OL34726252W	Jane Eyre	Brontë, Charlotte	1007	uniform_reservoir_sampling	20260713	40	32	0	32	7	1	0	0	0.8	gpt-5-mini	literary_visibility_v4_final_20260818	32	40	0.8	805.6	11.0	9.0	-2.0	2.0
/works/OL15202836W	Josephus	Josephus, Flavius.	2750	uniform_reservoir_sampling	20260713	40	17	3	20	10	8	2	0	0.526	gpt-5-mini	literary_visibility_v4_final_20260818	20	38	0.5263157894736842	1447.3684210526314	8.0	6.0	-2.0	2.0
/works/OL39453744W	Jude the obscure	Hardy, Thomas	343	uniform_reservoir_sampling	20260713	40	30	1	31	4	1	4	0	0.861	gpt-5-mini	literary_visibility_v4_final_20260818	31	36	0.8611111111111112	295.36111111111114	41.0	34.0	-7.0	7.0
/works/OL20172W	Kim	Kipling, Rudyard	218	uniform_reservoir_sampling	20260713	40	27	2	29	6	2	3	0	0.784	gpt-5-mini	literary_visibility_v4_final_20260818	29	37	0.7837837837837838	170.86486486486487	63.5	55.0	-8.5	8.5
/works/OL118969W	L' argent	Emile Zola	41	uniform_reservoir_sampling	20260713	40	19	3	22	9	5	4	0	0.611	gpt-5-mini	literary_visibility_v4_final_20260818	22	36	0.6111111111111112	25.05555555555556	124.5	122.0	-2.5	2.5
/works/OL43405505W	Lady Chatterley's lover	Lawrence, D. H.	287	uniform_reservoir_sampling	20260713	40	36	0	36	1	2	1	0	0.923	gpt-5-mini	literary_visibility_v4_final_20260818	36	39	0.9230769230769232	264.92307692307696	48.0	37.0	-11.0	11.0
/works/OL82931W	Light in August	William Faulkner	289	uniform_reservoir_sampling	20260713	40	28	1	29	5	3	3	0	0.784	gpt-5-mini	literary_visibility_v4_final_20260818	29	37	0.7837837837837838	226.51351351351352	47.0	45.0	-2.0	2.0
/works/OL18814811W	Looking backward	Bellamy, Edward	106	uniform_reservoir_sampling	20260713	40	25	3	28	6	5	1	0	0.718	gpt-5-mini	literary_visibility_v4_final_20260818	28	39	0.717948717948718	76.1025641025641	87.5	83.0	-4.5	4.5
/works/OL32036014W	Lord Jim	Conrad, Joseph	372	uniform_reservoir_sampling	20260713	40	25	1	26	10	3	1	0	0.667	gpt-5-mini	literary_visibility_v4_final_20260818	26	39	0.6666666666666666	248.0	37.0	42.0	5.0	5.0
/works/OL20839W	Maggie, a girl of the streets	Crane, Stephen	49	uniform_reservoir_sampling	20260713	40	26	3	29	8	1	2	0	0.763	gpt-5-mini	literary_visibility_v4_final_20260818	29	38	0.7631578947368421	37.39473684210527	120.0	104.0	-16.0	16.0
/works/OL1124016W	Maria Edgeworth	Edgeworth, Maria	585	uniform_reservoir_sampling	20260713	40	20	3	23	15	1	1	0	0.59	gpt-5-mini	literary_visibility_v4_final_20260818	23	39	0.5897435897435898	345.0	24.0	28.0	4.0	4.0
/works/OL144822W	Martin Eden	Jack London	94	uniform_reservoir_sampling	20260713	40	33	0	33	7	0	0	0	0.825	gpt-5-mini	literary_visibility_v4_final_20260818	33	40	0.825	77.55	94.0	81.0	-13.0	13.0
/works/OL1794911W	McTeague	Frank Norris	73	uniform_reservoir_sampling	20260713	40	27	1	28	4	6	2	0	0.737	gpt-5-mini	literary_visibility_v4_final_20260818	28	38	0.7368421052631579	53.78947368421052	104.5	95.0	-9.5	9.5
/works/OL1451547W	Michael Kohlhaas	Heinrich von Kleist	101	uniform_reservoir_sampling	20260713	40	28	2	30	5	0	5	0	0.857	gpt-5-mini	literary_visibility_v4_final_20260818	30	35	0.8571428571428571	86.57142857142857	91.0	77.0	-14.0	14.0
