oa_id	title	year	ref_count	referenced_work_ids
W2036713435	A Plea for a Return to <i>Différance</i> (with a Minor <i>Pro Domo Sua</i>)	2005	6	W614174293|W632536543|W1571651207|W2065731300|W2068370029|W4237168471
W4247863598	Back Matter	1986	0	
W1970004611	Maya Lin and the 1960s: Monuments, Time Lines, and Minimalism	1996	0	
W3143498006	Secular Divination: Edward Said's Humanism	2005	0	
W4210281516	Back Matter	1985	0	
W1967811828	Psychoanalysis and the Polis	1982	0	
W2031046616	The Ordinary Business of Occultism	2000	1	W644828530
W3147726856	The Perfect Teeth: Dental Aesthetics and Morals	2008	0	
W4411631443	:<i>The Book of Politics: China in Theory</i>	2025	0	
W3139145701	Richard Menke. <i>Literature, Print Culture, and Media Technologies, 1880–1900: Many Inventions</i>. Cambridge: Cambridge University Press, 2019. 259 pages.	2021	0	
W2180410127	The World Heard: <i>Casablanca</i> and the Music of War	2006	5	W583209683|W1966019085|W1967214684|W2120206758|W4250218857
W1970942189	<i>Critical Inquiry</i> and the Future	2004	0	
W2051780273	Intuition, Logic, Intuition	1998	0	
W4233359003	Back Matter	1978	0	
W2080695398	"The Logic of ""Ulysses""; Or, Why Molly Had to Live in Gibraltar"	1984	0	
W4254272937	Books of Critical Interest	2014	91	W26900997|W85119377|W129846658|W207495095|W374203601|W383353206|W430178639|W565096892|W575742596|W591839624|W598443204|W601806577|W605071743|W609004677|W622966199|W644495736|W1492930213|W1552667549|W1591822346|W1597206542|W1700274038|W1774738945|W1795753973|W1825118899|W1898557994|W1939315409|W1974757157|W2008096911|W2012395504|W2020506288|W2024758698|W2052162015|W2260567196|W2317178220|W2327168145|W2342986238|W2799087610|W4205349849|W4205835748|W4206060599|W4210546346|W4213171184|W4213216877|W4214490850|W4214872900|W4229806525|W4229853569|W4230751840|W4230876397|W4231513228|W4233053381|W4234284754|W4235271860|W4235375159|W4235487017|W4236199707|W4237202864|W4237908291|W4238552349|W4238707336|W4239630630|W4239920583|W4240319858|W4242818668|W4242881259|W4244349483|W4244837904|W4246564965|W4246859952|W4246969414|W4248103055|W4248770899|W4250346241|W4251896641|W4252346744|W4252601948|W4253761759|W4253970054|W4255237683|W4255459402|W4255609116|W4256514248|W4290378908|W4302035598|W4312314271|W4313031586|W4313044530|W4389277616|W4389700172|W4409477385|W4409479168
W4292655626	Eric Hayot. <i>Humanist Reason: A History. An Argument. A Plan</i>. New York: Columbia University Press, 2021. 324 pp.	2022	1	W4205615648
W2063575520	Vocation and Voice	2014	0	
W2431648019	Simon Critchley. <i>The Ethics of Deconstruction: Derrida and Levinas</i>, 3d ed. Edinburgh: Edinburgh University Press, 2014. 352 pp.	2016	0	
W2093552080	What Novels Can Do That Films Can't (And Vice Versa)	1980	0	
W3114923261	Posts from the Pandemic: An Introduction	2020	7	W3113519613|W3114146481|W3114337468|W3115563131|W3116404379|W3116664336|W3123950725
W2511884418	Bashir Makhoul and Gordon Hon. <i>The Origins of Palestinian Art</i>. Liverpool: Liverpool University Press, 2013. 269 pp.	2016	0	
W4234390091	Staging the Asian Modern: Cultural Fragments, the Singaporean Eunuch, and the Asian Lear	2004	0	
W4231922267	Editorial Note	1981	0	
W4235626635	Front Matter	1985	0	
W4248383394	Books of Critical Interest	1995	0	
W1975116157	Arts of Invention and Arts of Memory: Creation and Criticism	1975	0	
W4245858166	Books of Critical Interest	1989	0	
W1973054213	"""British Cannibals"": Contemplation of an Event in the Death and Resurrection of James Cook, Explorer"	1992	0	
W2051996906	Carnivore or Chameleon: The Fate of Cinema Studies	2009	3	W632729531|W640604658|W2042315890
W1990644353	A Response to Paul de Man	1983	0	
W2000486490	Concerning the Sciences, the Arts: And the Humanities	1974	9	W1976302067|W1988842463|W2005933779|W2007696884|W2009600989|W2060121379|W2060263930|W2072886468|W2415432623
W4280629841	James Leo Cahill and Luca Caminati, eds. <i>Cinema of Exploration: Essays on an Adventurous Film Practice</i>. New York: Routledge, 2021. 348 pp.	2022	0	
W2036513240	Fictitious Dealing: A Reply to Leo Bersani	1981	1	W1973129809
W2808205613	Branden W. Joseph. <i>Experimentations: John Cage in Music, Art, and Architecture</i>. New York: Bloomsbury Academic, 2016. 217 pp.	2018	0	
W2082567458	History: Or Anthropology: Of Art?	1975	0	
W4255360690	Saint Paul and the New Man	2009	0	
W3145048253	Zoology, Magic, and Surrealism in the War on Terror	2008	0	
W1965138007	Response to Stanley Fish	1983	0	
W2038956608	The Ontology of the Enemy: Norbert Wiener and the Cybernetic Vision	1994	0	
W4241457392	Back Matter	2007	0	
W2603898104	Art, Life, Finality: The Metamorphoses of Beauty	2017	0	
W1995654032	The Pocket‐Size Interview with Jacques Derrida	2006	0	
W4251058946	hiccups	2011	0	
W4253128501	Adam O’Brien. <i>Film and the Natural Environment: Elements and Atmospheres</i>. New York: Wallflower Press, 2018. 144 pp.	2019	1	W4238202096
W1989572702	Standards of Truth: The Arrested Image and the Moving Eye	1980	0	
