work_key	title	author_name	first_publish_year	canonical	scope_flag	jstor_count	oa_count	edition_count	htid_count	pd_count	gr_ratings	gr_reviews	ratings_5	ratings_4	ratings_3	ratings_2	ratings_1	gr_match	log_jstor	log_oa	log_edition	log_htid	log_gr	wikidata_qid	sitelink_count
/works/OL1719790W	By the Shores of Silver Lake	Wilder, Laura Ingalls	1924	0	in_scope	0	1	62	1	0	57570	917	24594	20122	10945	1408	501	UNIQUE	0.0	0.301	1.7993	0.301	4.7602	Q3427960	6
/works/OL17647354W	Peggy Owen, patriot	Lucy Foster Madison	1910	0	in_scope	0	0	4	0	0	0	0	0	0	0	0	0	NO_MATCH	0.0	0.0	0.699	0.0	0.0		0
/works/OL17665927W	Helen Carey	Martha Trent	1918	0	in_scope	0	0	2	0	0	0	0	0	0	0	0	0	NO_MATCH	0.0	0.0	0.4771	0.0	0.0		0
/works/OL17694368W	Stronghand	Aimard, Gustave	1887	0	in_scope	0	0	2	0	0	0	0	0	0	0	0	0	NO_MATCH	0.0	0.0	0.4771	0.0	0.0		0
/works/OL17720252W	Without blemish	Jeannette H. Walworth	1886	0	in_scope	0	0	1	0	0	0	0	0	0	0	0	0	NO_MATCH	0.0	0.0	0.301	0.0	0.0		0
/works/OL1794902W	A Deal In Wheat And Other Stories	Frank Norris	1903	0	in_scope	0	2	95	0	0	0	0	0	0	0	0	0	NO_MATCH	0.0	0.4771	1.9823	0.0	0.0		0
/works/OL18068696W	With Juliet in England	Grace S. Richmond	1907	0	in_scope	0	0	1	1	1	0	0	0	0	0	0	0	NO_MATCH	0.0	0.0	0.301	0.301	0.0		0
/works/OL181192W	I can get it for you wholesale	Jerome Weidman	1937	0	in_scope	0	0	6	1	0	31	6	4	10	13	2	2	UNIQUE	0.0	0.0	0.8451	0.301	1.5051		0
/works/OL183471W	The lost violin	Clara Ingram Judson	1947	0	in_scope	0	0	2	0	0	0	0	0	0	0	0	0	NO_MATCH	0.0	0.0	0.4771	0.0	0.0		0
/works/OL1890316W	Seraph on the Suwanee, a novel	Hurston, Zora Neale.	1948	0	in_scope	0	1	9	2	0	731	59	220	275	184	42	10	UNIQUE	0.0	0.301	1.0	0.4771	2.8645		0
/works/OL1937625W	The Uncertain Heart	Robins, Denise	1949	0	in_scope	0	0	8	0	0	13	3	9	2	2	0	0	YEAR_AUTH	0.0	0.0	0.9542	0.0	1.1461		0
/works/OL1948508W	Five Fall into Adventure	Enid Blyton	1950	0	in_scope	0	1	34	0	0	6324	100	1937	2295	1829	226	37	UNIQUE	0.0	0.301	1.5441	0.0	3.8011		0
/works/OL1952550W	Hellbox	O'Hara, John	1947	0	in_scope	0	0	4	1	0	0	0	0	0	0	0	0	NO_MATCH	0.0	0.0	0.699	0.301	0.0		0
/works/OL1960077W	The town	Conrad Richter	1950	0	in_scope	3	0	11	2	0	3001	112	1151	908	620	198	124	YEAR_AUTH	0.6021	0.0	1.0792	0.4771	3.4774	Q7769769	1
/works/OL20542159W	Rogue's March	Maristan Chapman	1949	0	in_scope	0	0	2	0	0	0	0	0	0	0	0	0	NO_MATCH_AUTH	0.0	0.0	0.4771	0.0	0.0		0
