filename	year	concept_group	count
Qian 2020.pdf	2020	field_formation	1
Qian 2020.pdf	2020	class	2
Rancière 2022.pdf	2022	class	1
Renard 2025.pdf	2022	modernism	1
Renard 2025.pdf	2022	form	2
Rennebohm 2023.pdf	2020	race	2
Roosth 2022.pdf	2022	pedagogy	2
Saussy 2020.pdf	2020	form	1
Schwendener 2025.pdf	2025	postcolonial	1
Scotch 2021.pdf	2020	publishing	2
Smith 2019.pdf	2019	field_formation	1
Somaini 2023.pdf	2020	form	1
Sorace 2020.pdf	2020	field_formation	1
Sorace 2020.pdf	2020	postcolonial	1
Sorace 2020.pdf	2020	class	1
Sorace 2020.pdf	2020	archive	2
Stark 2024.pdf	2024	gender_sexuality	1
Stark 2024.pdf	2024	race	1
Stark 2024.pdf	2024	class	1
Stejskal 2021.pdf	2021	form	1
Stoler 2022.pdf	2022	form	1
Stoler 2022.pdf	2022	archive	4
Swarbrick 2023.pdf	2023	pedagogy	1
Taussig 2020.pdf	2020	postcolonial	1
Tavlin 2022.pdf	2022	close_reading	1
Tavlin 2022.pdf	2022	form	1
Thell 2025.pdf	2020	form	1
Thiemeyer 2019.pdf	2019	postcolonial	6
Tiisala 2021.pdf	2021	publishing	1
Tu 2024.pdf	2024	pedagogy	2
Vaughn 2024.pdf	2022	postcolonial	1
Veg 2020.pdf	2020	modernism	1
Wang 2020.pdf	2020	modernism	1
Weatherby Justie 2022.pdf	2019	field_formation	1
Wilkinson 2021.pdf	2020	form	1
Wu 2020.pdf	2020	form	1
Yeager 2019.pdf	2019	modernism	1
Yeager 2019.pdf	2019	class	1
Zhang 2022.pdf	2022	class	1
__TOTAL__	all	form	83
__TOTAL__	all	field_formation	36
__TOTAL__	all	distant_reading	33
__TOTAL__	all	class	28
__TOTAL__	all	gender_sexuality	22
__TOTAL__	all	postcolonial	19
__TOTAL__	all	modernism	16
__TOTAL__	all	publishing	15
__TOTAL__	all	pedagogy	14
__TOTAL__	all	race	14
__TOTAL__	all	archive	12
__TOTAL__	all	world_lit	4
__TOTAL__	all	close_reading	4
__TOTAL__	all	expansion	2
