work_key	title	author_name	canonical	test_reason	oa_title_author_count	sampled_n
/works/OL7461553W	The innocents	Alfred Machard	1	canonical	0	0
/works/OL262473W	The Mystery of Cloomber	Doyle, Arthur Conan	1	canonical	1	1
/works/OL27834207W	The Return of the Soldier	Rebecca West	1	canonical	40	40
/works/OL14864528W	The rise of David Levinsky	Abraham Cahan	1	canonical	24	24
/works/OL6926191W	The sea witch	Laing, Alexander	1	canonical	0	0
/works/OL35383W	Three Lives	Gertrude Stein	1	canonical	50	40
/works/OL1487721W	Alas!	Rhoda Broughton	1	canonical	1	1
/works/OL1799163W	Hearts courageous	Rives, Hallie Erminie	1	canonical	0	0
/works/OL4902750W	Java Head	Joseph Hergesheimer	1	canonical	1	1
/works/OL20172W	Kim	Kipling, Rudyard	1	canonical	218	40
/works/OL115067W	King Coal	Upton Sinclair	1	canonical	6	6
/works/OL4971729W	Megda	Emma Dunham Kelley	1	canonical	3	3
/works/OL5293697W	New day	Victor Stafford Reid	1	canonical	7	7
/works/OL7541646W	Princess Salome	Burris Jenkins	1	canonical	0	0
/works/OL2107271W	Stepsons of light	Eugene Manlove Rhodes	1	canonical	0	0
/works/OL100196W	"The ""genius"""	Theodore Dreiser	1	canonical	21	21
/works/OL485410W	The border legion	Zane Grey	1	canonical	2	2
/works/OL1154817W	The Crock of Gold	Stephens, James	1	canonical	3	3
/works/OL20163024W	The Damascus Road	Jay Parini	1	canonical	0	0
/works/OL2337481W	The Frontiersmen	Charles Egbert Craddock	1	canonical	0	0
/works/OL13144755W	The Homeward Trail	Waldron Baily	1	canonical	0	0
/works/OL51141W	The job	Sinclair Lewis	1	canonical	161	40
/works/OL18397742W	The North Star	M. E. Henry-Ruffin	1	canonical	0	0
/works/OL1794919W	The Pit	Frank Norris	1	canonical	21	21
/works/OL2339087W	The Red Axe	S. R. Crockett	1	canonical	0	0
/works/OL1217993W	Three soldiers	John Dos Passos	1	canonical	31	31
/works/OL7842965W	Trelawny	Holman Freeland	1	canonical	0	0
/works/OL32094565W	The Rescue		0	known_noise_case	0	0
/works/OL16730786W	The aliens		0	known_noise_case	0	0
/works/OL22109645W	In the shadow		0	known_noise_case	0	0
/works/OL1336767W	Arnold	Arnold, Matthew	0	known_noise_case	34536	40
/works/OL1518264W	Sherlock Holmes	Doyle, Arthur Conan	0	top_F	645	40
/works/OL15378100W	Chaucer	Chaucer, Geoffrey	0	known_noise_case	7818	40
/works/OL16574029W	Robinson Crusoe	Daniel Defoe	0	top_F	664	40
/works/OL25639159W	Tom Sawyer	Mark Twain	0	top_A	277	40
/works/OL276471W	Henry James	James, Henry	0	known_noise_case	5613	40
/works/OL44368791W	Gulliver's travels	Swift, Jonathan	0	top_F	491	40
/works/OL8675756W	Monkey	Wu, Cheng'en	0	top_B	92	40
/works/OL12104222W	Monkey	Chʻeng-en Wu	0	top_B	92	40
/works/OL17711195W	Virginia	Maie Dove] [from old catalog Day	0	top_B	5433	40
/works/OL42516882W	Waverley	Scott, Walter	0	top_B	346	40
/works/OL7012129W	Temper	Lawrence H. Conrad	0	top_B	11	11
/works/OL44754882W	Oliver Twist	Charles Dickens	0	top_B	473	40
/works/OL247045W	The Consul	Davis, Richard Harding	0	top_B	2	2
/works/OL83012W	Winnetou	Karl Friedrich May	0	top_A	44	40
/works/OL7710777W	The American	Dillon, Mary	0	known_noise_case	179	40
/works/OL24219W	Democracy	Adams, Henry	0	top_F	324	40
/works/OL18448451W	Aesop's fables	Aesop.	0	top_F	362	40
/works/OL7965965W	D.H. Lawrence	Lawrence, D. H.	0	known_noise_case	3458	40
