work_id	htid_count	oclc_variants	title_htrc	date_htrc	prob80_max	englishpct_max	htids
OL3686166W	4	2	Perlycross	1894	0.9	1.0	uc2.ark+=13960=t9765j88g|mdp.39015026502982|uc1.b249566|uc2.ark+=13960=t6j09zz4w
OL36881W	4	1	The light heart	1920	0.87	1.0	mdp.39015031235545|nyp.33433074863089|uc1.b3322485|uc2.ark+=13960=t4vh5gq98
OL36894W	4	2	Gudrid the Fair;	1918	0.88	1.0	mdp.39015031235511|nyp.33433074863055|mdp.39015063932183|uc2.ark+=13960=t2h70dm6b
OL36899W	4	2	The outlaw	1919	0.89	1.0	uc2.ark+=13960=t3kw5fq4g|mdp.39015031237194|nyp.33433074870449|uc2.ark+=13960=t5w66jq2k
OL36917W	4	2	Mrs. Lancelot	1912	0.84	1.0	nyp.33433074863139|uc2.ark+=13960=t4pk08x0c|mdp.39015063923539|uc2.ark+=13960=t6tx3ck6d
OL36938W	6	1	The queen's quair;	1904	0.89	1.0	mdp.39015031237186|mdp.39015063911633|nyp.33433074870423|nyp.33433074870431|uc1.b4103187|uc2.ark+=13960=t09w0cr2x
OL36950W	2	2	New Canterbury tales	1901	0.88	1.0	uc2.ark+=13960=t5m90555k|uc2.ark+=13960=t0gt5kx1x
OL36952W	8	5	The life and death of Richard Yea-and-Nay	1901	0.89	1.0	mdp.39015031235503|nyp.33433074863071|uc1.b3322767|uc2.ark+=13960=t7qn66z22|uc1.b3322486|uc2.ark+=13960=t03x8bs9v|mdp.39015031297982|uc2.ark+=13960=t5x63jg14
OL36954W	2	1	Little novels of Italy	1899	0.89	1.0	uc1.b3865742|uc2.ark+=13960=t92808c4t
OL36956W	3	1	The forest lovers;	1898	0.84	0.999	nyp.33433074863014|uc2.ark+=13960=t5fb50q0z|wu.89081829186
OL3713397W	2	1	William, an Englishman	1920	0.89	1.0	nyp.33433074852728|uc2.ark+=13960=t7np1zm8d
OL37140074W	1	1	A dead man's diary	1894	0.58	0.998	nnc1.cr59990007
OL3715482W	1	1	The Tory's daughter	1888	0.89	1.0	uc2.ark+=13960=t4jm23z4j
OL37208W	1	1	The autobiography of an ex-colored man	1912	0.7	0.999	coo.31924022491033
OL3739394W	2	1	Back to God's country	1920	0.89	1.0	nyp.33433074840558|uc2.ark+=13960=t9x05zt78
OL3739401W	1	1	Isobel	1913	0.89	1.0	mdp.39015022364882
OL3739405W	2	1	The golden snare	1921	0.88	1.0	mdp.39015022477122|nyp.33433074840699
OL3739408W	2	2	Flower of the north	1912	0.89	1.0	uc2.ark+=13960=t06w98j10|nyp.33433074840657
OL3739410W	1	1	Philip Steele of the Royal Northwest mounted police	1911	0.88	1.0	nyp.33433074846365
OL3739411W	1	1	The wolf hunters	1908	0.89	1.0	uc2.ark+=13960=t21c1vk6p
OL3739413W	1	1	The gold hunters	1909	0.89	0.999	uc2.ark+=13960=t4wh2dw0h
OL3739415W	3	1	The grizzly king	1918	0.88	1.0	mdp.39015063545324|nyp.33433074840681|uc2.ark+=13960=t09w0d606
OL3739416W	1	1	The honor of the big snows	1911	0.88	1.0	nyp.33433074846373
OL3739419W	2	1	Kazan	1914	0.89	1.0	mdp.39015005386282|uc2.ark+=13960=t7gq6sz2m
OL3739420W	1	1	Nomads of the North	1919	0.89	1.0	uc2.ark+=13960=t48p5xw00
OL3739422W	4	2	The flaming forest	1921	0.89	1.0	njp.32101064788340|uc2.ark+=13960=t2794118v|nyp.33433074840665|uc1.b4097817
OL3739423W	3	2	Baree	1917	0.89	1.0	mdp.49015000668443|mdp.39015063545050|uc2.ark+=13960=t6057f53w
OL37468569W	1	1	"""Quo vadis."""	1897	0.69	1.0	njp.32101074898295
