name
Hugh Brewster
Ida Minerva Tarbell
Igloo Books Ltd
India Masters
India R. Adams
Ingo Schulze
International Association for Childhood Education
Ion Idriess
Irene Kilpatrick
Isabelle Brent
Isabelle Eberhardt
Isabelle Holland
Ivan Ormandzhiev
J. Ardian Lee
J. H. Coira
J. Hoberman
J.A. Giunta
J.A. Johnstone
J.C. McKenzie
J.D.   Smith
J.G. Ballard
J.M. Coetzee
J.S.  Lee
J.T. Lewis
Jack  Flanagan
Jack Du Bruhl
Jack Du Brul
Jack Lennard
Jack Vance
Jake Adam York
James      Conway
James Bow
James Fleming
James J. Kilpatrick
James P. Smyth
James Patrick Hunt
James Van Praagh
James W. Marvin
James White
Jan Needle
Jan Stmad
Jana Aston
Jane Hervey
Janette Oke
Janusz A. Zajdel
Jason Lambright
Jason Morningstar
Jayne Ann Krentz
Jayne Castle
Jean Bastide
Jean C. Joachim
Jean Ducey
Jean Echenoz
Jean Plaidy
Jean-Claude Mourlevat
Jenna Ryan
Jennah Scott
Jennie D. Lindquist
Jennifer Lowery
Jennifer Nansubuga Makumbi
Jennifer Pashley
Jenny Tyler
Jeremy Black
Jeri Gilchrist
Jerold Last
Jerome Bourgine
Jessica Potter Broderick
Jewel Stone
Jiao Bo
Jiddu Krishnamurti
Jilaine Tarisa
Jim Nisbet
Jim R. Woolard
Jinny Johnson
JoAnn Wendt
John  Ashby
John  Blackburn
John Bigelow
John Brendan Keane
John Brunner
John Fox Jr.
John Gaskin
John Gray
John Houghton Allen
John Jakes
John R. Erickson
John R. Thayer
John Ridley
John Rutherford
John Sherwood
John Yeoman
Johnny Stanton
Jon Cleary
Jonathan Aycliffe
Jonathan Black
Joni Latham
Jonny Zucker
Jose Servera
Jose Tomas
Josemaria Escriva
Joseph Bathanti
Josephine Myles
Josi S. Kilpack
Joy Buchanan
Joyce Barkhouse
Joyce V. Harrison
Jude Deveraux
Jude Ouvrard
Judith Lennox
Julia Riding
Julie Andrews Edwards
Julie Benson
Julien Boyer
June Winton
Justin Sayre
K. Meador
K.K. Beck
K.R. Jordan
Karen Black
Karen Wallace
Karolyn Cairns
Katharine Davies
Katharine Kincaid
Katherine Hall Page
Katherine Valentine
Kathleen Delaney
Kathleen V. Kudlinski
Kathy Lauren Miller
Katie Tait
Keira Cole
Kekla Magoon
Kenneth Robeson
Kevin Grauke
Kim Vogel Sawyer
Kimberly S. Young
Kirk Mitchell
Kit Whitfield
Kristmann Gudmundsson
Kurenai Mitsuba
L. G. Vernon
