openlibrary_work_key	selection_title	selection_author	broad_other_total	broad_other_retained_n	sampling_mode	sample_related_n	related_rate	estimated_related_n	estimated_related_n_ci_low	estimated_related_n_ci_high	sample_primary_n	primary_rate	estimated_primary_n	estimated_primary_n_ci_low	estimated_primary_n_ci_high	sample_scholarly_n	scholarly_rate	estimated_scholarly_n	estimated_scholarly_n_ci_low	estimated_scholarly_n_ci_high	sample_pedagogical_n	pedagogical_rate	estimated_pedagogical_n	estimated_pedagogical_n_ci_low	estimated_pedagogical_n_ci_high	sample_adaptation_n	adaptation_rate	estimated_adaptation_n	estimated_adaptation_n_ci_low	estimated_adaptation_n_ci_high
/works/OL37277W	Autobiography of Alice B Toklas	Gertrude Stein	12	12	all_retained	12	1.0	12.0	12.0	12.0	12	1.0	12.0	12.0	12.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
/works/OL144822W	Martin Eden	Jack London	5	5	all_retained	5	1.0	5.0	5.0	5.0	5	1.0	5.0	5.0	5.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
/works/OL18561767W	The Story of an African Farm	Olive Schreiner	5	5	all_retained	5	1.0	5.0	5.0	5.0	5	1.0	5.0	5.0	5.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
/works/OL262473W	The Mystery of the Cloomber	Arthur Conan Doyle	0	0	none	0		0.0	0.0	0.0	0		0.0	0.0	0.0	0		0.0	0.0	0.0	0		0.0	0.0	0.0	0		0.0	0.0	0.0
/works/OL27834207W	Return Of The Soldier	Nathaniel West	0	0	none	0		0.0	0.0	0.0	0		0.0	0.0	0.0	0		0.0	0.0	0.0	0		0.0	0.0	0.0	0		0.0	0.0	0.0
/works/OL4390503W	Gone to Earth	Mary Webb	2	2	all_retained	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
/works/OL13144755W	The Homeward Trail	Waldron Baily	2	2	all_retained	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
/works/OL42517032W	The Red Badge of Courage	Stephen Crane	41	41	all_retained	39	0.9512195121951219	39.0	39.0	39.0	23	0.5609756097560976	23.0	23.0	23.0	2	0.04878048780487805	2.0	2.0	2.0	6	0.14634146341463414	6.0	6.0	6.0	8	0.1951219512195122	8.0	8.0	8.0
/works/OL88881W	Howard's End	E. M. Forster	0	0	none	0		0.0	0.0	0.0	0		0.0	0.0	0.0	0		0.0	0.0	0.0	0		0.0	0.0	0.0	0		0.0	0.0	0.0
/works/OL38989822W	A Portrait of the Artist as a Young Man	James Joyce	17	17	all_retained	17	1.0	17.0	17.0	17.0	15	0.8823529411764706	15.0	15.0	15.0	2	0.11764705882352941	2.0	2.0	2.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
/works/OL39453744W	Jude the Obscure	Thomas Hardy	10	10	all_retained	9	0.9	9.0	9.0	9.0	6	0.6	6.0	6.0	6.0	0	0.0	0.0	0.0	0.0	1	0.1	1.0	1.0	1.0	2	0.2	2.0	2.0	2.0
