OL100195W	254525432
OL100195W	216590
OL100195W	22894617
OL100195W	6178257
OL100195W	810557340
OL100195W	192965
OL100195W	70216590
OL100195W	20876304
OL100195W	179924029
OL100195W	999064
OL100195W	172983103
OL100196W	810558438
OL100196W	29431156
OL100196W	41276345
OL100196W	664644137
OL100203W	417651740
OL100203W	282836
OL100203W	1110619765
OL1002110W	27458857
OL1002110W	1042355522
OL1002110W	232055101
OL100230W	988811
OL100230W	44392964
OL100230W	5986913
OL100230W	22136437
OL100236W	
OL100237W	
OL100238W	
OL100239W	502880056
OL100239W	43741870
OL100239W	1342979
OL100239W	799837341
OL100239W	810558739
OL100239W	40786885
OL100239W	58774153
OL100239W	440838177
OL100239W	228720622
OL100239W	6561071
OL100278W	22400774
OL100278W	401757714
OL100278W	293529
OL100278W	464389022
OL100278W	24739048
OL100278W	48147302
OL100278W	48872817
OL100278W	55544775
OL100278W	416452026
OL100278W	34770607
OL100278W	810562689
OL100278W	55569832
OL100278W	864939344
OL1003017W	1120095208
OL1003040W	11025660
OL1003040W	38131426
OL1003040W	27754811
OL1003040W	50235854
OL1003040W	8794554
OL1003040W	37136300
OL1003040W	22985439
OL1003040W	27641554
OL1003040W	1203992
OL1003044W	3904720
OL1003044W	179789909
OL1003044W	21141703
OL1003044W	327609
OL1003044W	2217293
OL1003044W	2042978
OL1003044W	870146493
OL1003044W	43729084
OL1003044W	27164394
OL1003047W	3406274
OL1003047W	2681496
OL1003047W	15001770
OL1003047W	3025498
OL1003047W	27315916
OL1003047W	19970330
OL1003047W	179789916
OL1003047W	2615880
OL1003053W	540262
OL1003053W	3222080
OL1003053W	31097381
OL1003053W	181900876
OL1003053W	27086077
OL1003053W	4059366
OL1003053W	366797888
OL1003053W	2051339
OL1003053W	25879349
OL1003053W	2893256
OL1003053W	179789919
OL1003053W	22295282
OL1003079W	8123643
OL1003079W	4059406
OL1003079W	4656089
OL1003079W	5312435
OL1003079W	21130696
OL1003079W	6655510
OL1003079W	31097252
OL1003079W	179803694
OL1003079W	1744484
OL1003079W	11268787
OL1003079W	20971684
OL1003079W	5312434
OL1003079W	37331578
OL1003079W	2505089
OL1003079W	23735722
OL1003079W	35595898
OL100361W	1843016
OL1004273W	4994998
OL1004273W	9464721
OL1004273W	22954356
OL1004273W	3855433
OL1004273W	14966875
OL1004273W	20169020
OL100434W	1379034
OL100434W	19590712
OL100434W	60063246
OL100434W	76144910
OL100434W	57371325
OL100434W	19143211
OL100434W	32540479
OL100434W	29688975
OL100434W	14129344
OL100434W	75548959
OL100434W	2512049
OL100434W	21780099
OL100434W	1823941
OL100434W	43265779
OL100434W	23486411
OL101106W	2697597
OL101106W	237583425
OL101106W	2697556
OL101106W	12376275
OL101106W	625730
OL101930W	232927505
OL101930W	4552561
OL101930W	3952613
OL101949W	1313985
OL101949W	50420274
OL101949W	6282143
OL101949W	2058189
OL101949W	225360444
OL101949W	53033989
OL101949W	30557370
OL101949W	25747344
OL10215W	17618775
OL10215W	22357881
OL10215W	33189559
OL10215W	10279652
OL10215W	329426
OL10215W	656318
OL10215W	726871
OL102381W	10203861
OL102381W	34513245
OL102381W	2722890
OL102381W	15367052
OL102381W	952181
OL102381W	6530175
OL102381W	178173
OL102381W	18324813
OL102381W	1175677058
OL102382W	1117160
OL102382W	431611
OL102382W	15288335
OL102382W	22904002
OL102382W	280140
OL102382W	233618897
OL102384W	3125798
OL102384W	60116612
OL102384W	2344238
OL102384W	59458032
OL102384W	18248113
OL102384W	20852797
OL102384W	505019537
OL102384W	8581525
OL102384W	49536978
OL102384W	565975
OL102384W	2818165
OL102384W	825194
OL102384W	636325811
OL10263W	
OL102653W	54684965
OL102653W	924852962
OL102653W	5431504
OL102653W	912443
OL102653W	503312453
OL10267W	797437522
OL10267W	35868868
OL10267W	976768
OL10267W	37143308
OL10267W	1613353
OL10267W	971479627
OL10267W	6698189
OL10267W	2924466
OL10272W	344460
OL10272W	37048405
OL10272W	46340255
OL10272W	2488808
OL10272W	39189260
OL10272W	233387794
OL10272W	149073774
OL10272W	149063987
OL10272W	4101922
OL10272W	16765540
OL10272W	2065740
OL102733W	283459
OL102733W	434527206
OL102733W	324453
OL102733W	212908758
OL102733W	54774447
OL102733W	826864
OL102733W	55678854
OL102733W	67226341
OL102733W	32866716
OL102746W	977718930
OL102746W	608259451
OL102746W	873167156
OL102746W	314929510
OL102746W	671784626
OL102746W	14471418
OL102746W	953887650
OL102746W	777199670
OL102746W	865187125
OL102746W	928157780
OL102746W	568103686
OL102746W	25999509
OL102746W	276302
OL102746W	6140052
OL102746W	948579388
OL102746W	1802143
OL102746W	779676482
OL102746W	1003955347
OL102746W	433953733
OL102746W	59265712
OL102746W	827685415
OL102746W	407586537
OL102746W	55125361
OL102746W	40177642
OL102746W	1028725962
OL102746W	45838150
OL102746W	21070945
OL102746W	52103265
OL103118W	90028569
OL103118W	433607924
OL103118W	733856272
OL103118W	1416116078
OL103118W	49304506
OL103118W	280359
OL103118W	964614
OL103118W	954685639
OL103118W	4308209
OL103118W	45872211
OL103118W	80749004
OL103118W	2068845
OL103118W	7763953
OL103118W	43673237
OL103118W	18697997
OL103118W	10008817
OL103118W	1119524
OL103118W	8328227
OL103118W	2510403
OL103118W	434247391
OL103128W	432380333
OL103128W	436866651
OL103128W	5701655
OL103128W	28797600
OL103128W	53009310
OL103128W	52961051
OL103128W	703206501
OL103128W	6020342
