openlibrary_work_key	selection_title	selection_author	openalex_semantic_visibility	jstor_ll_relevant_count	gr_ratings	openlibrary_edition_count_final	z_academic_openalex	z_academic_jstor	z_reader_goodreads	z_bibliographic_ol	academic_reader_residual_combined	academic_reader_configuration	z_scholarly_composite	scholarly_minus_reader	bibliographic_minus_reader	scholarly_minus_bibliographic
/works/OL35695219W	Ulysses	James Joyce	1558.8947368421052	710	88298	684	1.7970903297019611	2.600994478371369	0.7086360460705274	0.9292023758618552	2.4911107234516514	academic_heavy	2.199042404036665	1.4904063579661375	0.2205663297913277	1.26984002817481
/works/OL39108W	Secret Agent	Joseph Conrad	237.5	129	14686	338	0.8650627432671775	1.545024778530863	0.2563416750450175	0.5168577423952206	1.5979511712640906	academic_heavy	1.2050437608990203	0.9487020858540028	0.2605160673502031	0.6881860185037997
/works/OL41540816W	Robert Elsmere	Mrs. Humphry Ward	19.384615384615383	4	36	5	-0.355597208421623	-0.4797967869471867	-1.252461066499983	-1.8480174083842624	1.395506732024516	academic_heavy	-0.4176969976844048	0.8347640688155781	-0.5955563418842795	1.4303204106998575
/works/OL276470W	The Ambassadors	Henry James	157.97368421052633	69	9923	231	0.6637538672870325	1.1603081427805455	0.1574980060471816	0.2945336175463412	1.3029948028618097	academic_heavy	0.912031005033789	0.7545329989866074	0.1370356114991596	0.6174973874874478
/works/OL31971259W	Heart of Darkness	Joseph Conrad	842.027027027027	255	315808	1099	1.4916884181743868	1.9661621303504309	1.0299755763656246	1.2068544109277248	1.2935465231761056	academic_heavy	1.7289252742624088	0.6989496978967842	0.1768788345621001	0.522070863334684
/works/OL86320W	Dubliners	James Joyce	551.2	94	93509	996	1.281715334082576	1.3500948303438272	0.723094106819389	1.1492222601930453	1.153233599760586	academic_heavy	1.3159050822132017	0.5928109753938124	0.4261281533736563	0.1666828220201561
/works/OL4315764W	The Heavenly Twins	Sarah Grand	19.86206896551724	6	133	18	-0.3441071116052536	-0.2706881147686175	-0.9279663918166492	-1.172315739999307	1.051828344637112	academic_heavy	-0.3073976131869355	0.6205687786297136	-0.2443493481826577	0.8649181268123713
/works/OL39360W	Orlando	Virginia Woolf	332.4857142857143	59	40451	452	1.031433116051973	1.0645075373642068	0.5118061797860349	0.6867926797256052	1.0485552097956334	academic_heavy	1.0479703267080898	0.5361641469220548	0.1749864999395702	0.3611776469824845
/works/OL18397742W	The North Star	Margaret Ellen Henry-Ruffin	0.0	0	125	1	-1.8517910919338687	-1.4800202472911517	-0.9434880863810704	-2.492024827585229	-1.1506484935282455	reader_heavy	-1.6659056696125103	-0.7224175832314399	-1.5485367412041586	0.8261191579727187
/works/OL485410W	The Border Legion	Zane Grey	2.0	0	497	302	-1.30656499543438	-1.4800202472911517	-0.5969566209456608	0.451046558518601	-1.1620133373180643	reader_heavy	-1.393292621362766	-0.7963360004171051	1.0480031794642617	-1.8443391798813669
/works/OL14942956W	The Call of the Wild	Jack London	104.35135135135135	4	254249	1713	0.4595630162292224	-0.4797967869471867	0.975304974305157	1.4668459856685456	-1.2194877776448974	reader_heavy	-0.0101168853589821	-0.9854218596641392	0.4915410113633887	-1.4769628710275278
/works/OL51141W	The Job	Sinclair Lewis	0.0	0	153	72	-1.8517910919338687	-1.4800202472911517	-0.8928893882901183	-0.3832774479157525	-1.2275378691378256	reader_heavy	-1.6659056696125103	-0.773016281322392	0.5096119403743657	-1.2826282216967575
/works/OL262473W	The Mystery of the Cloomber	Arthur Conan Doyle	1.0	0	377	215	-1.5077917252287183	-1.4800202472911517	-0.666475284958792	0.2526443146069869	-1.2465262926726952	reader_heavy	-1.4939059862599349	-0.8274307013011428	0.9191195995657788	-1.7465503008669216
